rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
1,Very Reliable Car!!!,John Luten ,07/16/2016,4,3,2,,,4,2,1,2,,,The car is very low mileage and I have gotten the car serviced on a regular bases.  Great Michelin tires.,,
,,,,,,,,,,,,,,,,,
5,You can't do better!,ANN Weiss ,07/04/2016,5,4,4,,,,5,5,4,,,This car has been very dependable. Many people tell me that it still looks brand new. The interior looks new too. I have not had to do any engine repairs. I do have the oil changes done every 5000 miles and rotate the tires every 6000 miles. A body shop worker told me that in over 20 years he has only seen damage from a collision to the inside of a Camry once. It also retains its value well. I plan on buying another Camry for my next car.,,
,,,,,,,,,,,,,,,,,
3,The Good Bad and Ugly,Judy Limburg ,06/14/2016,3,4,4,,,,4,4,5,,,"We bought our 2009 Toyota Camry XLE in the winter of 2012 with 30,000 miles on it.   We now have 77,500 miles on it.   We are a bit disappointed at the amount of work we've had to do on it . . . we had to have the fuel pump replaced.    The struts were next.   New tires and, if memory serves me, a new battery as well.   And now the ABS module is on the fritz.    Fortunately, the first two repairs were under warranty.   But, of course, as soon as our warranty runs out, we have the MAJOR expense of the ABS module to deal with.   It's at the dealership now being diagnosed.   We are anticipating a repair cost of $2000 or so.   Not fun.   The good - the car is comfortable, reliable (mostly) and gets good gas mileage.   The bad - the repairs we've had to do.   When you buy a car at a reputable dealership, you don't anticipate having such major repairs to make.    The ugly - the $2,000 we will most likely be stuck with when we get the call from the dealership later today.",,
,,,,,,,,,,,,,,,,,
3,Oil and Engine Issues :(,Nick Franky ,05/20/2016,3,2,3,,,2,4,2,4,,,"I've had my car for a while now. I bought it in 2011, 2 years old for about 13k. After replacing the melting dash, door protectors and starter. I now have issues with oil, I took my car for its scheduled oil change and the mechanic says...""You have no oil in you car, and its back firing, I think you should take it to the dealer because we wont be able to do an oil change"". So I take my car to Toyota and the keep it over night. they tell me nothing seems wrong but the are testing the oil consumption I have to  bring it back within 1200 miles. BUUUUUUUT my check engine light is on and when I start my car it trembles, I have to let it sit for a while or restart the car. This was my first car I bought all alone, Finally paid for in full and this POS gives me hell after I make my final payment(April) . oh yeah, a mechanic told me its about 6k to fix, car is only worth 5k!I don't think I will buy another Toyota...Honda here I come.",,
,,,,,,,,,,,,,,,,,
3,Oil today and gone tomorrow!,Tonya Stafford ,05/01/2016,3,4,4,,,3,5,3,4,,,"I have had oil consumption issues since about year one.  I have owned it 8 years and have complained continually about the oil consumption issues.  It uses a quart by 1300 miles after an oil change and another quart at 1100 more.  I have driven it until it wouldn't crank only to discover there was no visible oil on the dip stick.  I had the oil consumption test and qualified, waited almost a year on a waiting list to find out by accident that it was not documented correctly.  I recently qualified again and am now waiting for the necessary parts which could take some time to come in.  Seriously, my engine might be shot by then.  Not sure I'll buy another Toyota, after all, this is the same car that caused me to almost crash as my gas peddle got stuck and drove me through main street at about 65 mph!  Toyota should be better than this.  Other than those two major problems, the car has been pretty good.  My husband's Toyota Tundra is 14 years old and has 200,000 miles with no problems yet and we bought it new.  Toyota might have slipped on quality where it mattered during the years my car was made.I traded this car in September of 2016.  Toyota had still not managed to get the parts to fix my car's oil consumption problems.  It had a sticky dash that was on recall and I was just less than 200 down on the list to get it fixed.  It had 123,000 miles on it.  I just could not deal with the issues anymore.  I did not replace it with a Toyota.",,
,,,,,,,,,,,,,,,,,
2,Oil Consumption Problems are in my 2009 Toyota Cam,walterfisher ,04/10/2016,1,3,4,,,1,1,1,2,,,Oil consumption problem is in my 2009 toyota camry.,,
,,,,,,,,,,,,,,,,,
2,having issues,Chris badertscher ,01/31/2016,,,,,,,,1,,,,I just bought a 2009 toyota camry LE with 76000 miles.  After owning it for only a couple weeks I've had it stall out on me as I slowed down for a stop light.  Also the other day as I was driving the brake light randomly showed up.  Anybody else having issues with their camry of around the same year stalling out?,,
,,,,,,,,,,,,,,,,,
5,Toyota's for life!!!,Abe ,12/06/2015,5,5,5,,,5,5,5,5,,,Just 2 word's ...Sweet car!!!,,
,,,,,,,,,,,,,,,,,
5,The BEST and most RELIABLE car,Lisa C. ,12/05/2015,,3,5,,,4,5,5,5,,,"I bought my 2009 Camry brand new and have never had an issue with it.  I have over 175,000 miles driven so far.  There were 2 very minor recalls on it.  I had them both checked and fixed by the dealer at no charge. It was a floor mat and power door switch. Besides my car still looking practically brand new on the inside and outside, it still runs like new and is the most affordable car I have ever had to maintain.  It drives nice and smooth.  I will say that the seats are comfortable enough.  I wish they had more lumbar support.  Overall, this is the best vehicle I have ever owned.  I have owned 3 other cars and a few trucks.  Different makes and models.  I will only be buying Toyota from now on.",,
,,,,,,,,,,,,,,,,,
4.375,"200k, The Most Reliable Car I Have Ever Owned",pmireland44 ,03/03/2015,,,4,4,5,5,,4,4,5,4,"The V-6 is very quick with more HP than most 60's Muscle Cars. I have personally put 200k on the clock from day one and the only repairs so far were wheel bearings and Struts at 150K. It didn't even need brakes until 90K! Still has the original battery. Oil changed every 5K. 25mpg in mixed driving and 31mpg on long trips. Everything still works, the interior has held up well (four kids). The paint has seemed to chip a bit easy but I have been on many 500 mile plus trips through the NW in winter.  I have no intention of replacing this car before 300K.",Reliability and great horsepower/ torque ,Less torque steer on acceleration
,,,,,,,,,,,,,,,,,
3.875,what these fools talkin bout?,mrcashmoneey ,08/04/2014,,,3,4,3,5,,4,4,5,3,"now ive only had my 09 camry for a week so i cant speak for the reliability, but im reading some nonsense on here. this is a nice car. i have the 4 cyl. and it has plenty of power. it is a little weird accelerating from a stop i will agree to that but cmon. this thing shifts very smooth, the suspension is nice! its a solid ride. i find it comfortable too. after my 08 nissan versa, this thing feels like the greatest car ever. and i get about the same gas mileage but with more of everything! space, performance, oh and a quiet ride oh and its also pretty low priced. dont let these reviews fool you [non-permissible content removed]. sweeeet value. ",,
,,,,,,,,,,,,,,,,,
