rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Love this car!,Terri Allsup ,07/28/2016,5,5,5,,,5,5,,5,,,,,
,,,,,,,,,,,,,,,,,
5,Looking for my third highlander,Dennis Janezic ,05/27/2016,,,4,,,,5,5,5,,,"This is a solid vehicle.  Not overly large but roomy enough for passenger comfort and carrying sport stuff, golf clubs, etc.  Don't really have anything bad to say about it",,
,,,,,,,,,,,,,,,,,
5,The best bang for your buck for a 4 banger mid size suv,ewayjeng ,11/22/2013,,,5,5,5,5,,5,5,5,5,"This car is great, bought used with less than 60K, but in near mint condition at purchase, engine is strong, easy to move seats down for storage and has a lot of nice creature comfort features.Its got decent power for a 4 cylinder and since I'm not towing, and this is primarily a people mover, the gas savings are perfect.Drives like a car, would recommend to anyone looking for a mid size suv that is reliable, fun to drive and very functional.","Fold down seats, 3rd row seats, rear a/c, 4 cylinder 6 speed engine, interior design (multipe cup holders, center storage console, seating configurations)","It would be nice if these came with running boards standard to make it easier to get in for kids, and elderly people."
,,,,,,,,,,,,,,,,,
4.75,Highlander SPORT ,luvtoyota10 ,02/13/2013,,,4,5,4,5,,5,5,5,5," This is my father's car and it is great. The sport suspension does make a difference, it handles better than my 2013 Highlanader. Theres more steering feel. It does well in the snow, haven't had any problems with it. Just doing maintenance on it. The JBL sound system is amazing! Some of my leather Jackets tend to stick to the leather on the seats and make a weird noise when I get out of the seat. It does everything you want it to. I like the huge backup camera as well.","Navigation, Back-up Camera, Heated seats, 4WD, the sport look, the handling, Bluetooth. Roomy Interior.",Paint and interior quality. It's all black so everything shows.
,,,,,,,,,,,,,,,,,
4.75,Great!Highlander,mr21991 ,04/25/2011,,,4,5,5,5,,5,5,4,5,"all people writing a review on this issue about the toyota highlander you need to open your manual owners booklet before you complain regarding the problem of your highlander...first evry 5,000 miles you need to wheel rotation 2nd you need evry 12-18moths wheel alignment 3rd you need to retorque all under chassis evry 36 moths...very important to check your oil and coolant transmission fluid every week...God bless all",Driving like car!,steering wheel...
,,,,,,,,,,,,,,,,,
3.75,Mostly as expected but not everything,pma022 ,02/22/2011,,,5,5,3,4,,4,3,3,3,"Own this SUV for nearly 2 years. Reliability is good. No issue so far. But there are quite a few rattling noises from dash,2nd and 3rd row seats. It's definitely not as serious as mechanical or electrical problem but sometimes is quite annoying. Dealer said it's from under seats and cannot fix due to safety issue.Another problem is the very weird tire size. They're top expensive. Change a set will charge $955 at Costco and $1000 at America Tire.Basically it's a comfortable and fast car but Toyota can make it better.","Exterior size is not too big/not too small, quiet (except rattles) inside, 3rd seat is not very narrow for adults, material quality is no cheap, rear window is big so it's easy to see when doing reverse","Rattles and squeezes: Wish Toyota can do more test drive at their design center and teach dealers how to fix them
Tire size: Please use more popular type"
,,,,,,,,,,,,,,,,,
