rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,"Great nibble, smooth and fast mini-van.  Love it!!",PapaC ,12/10/2016,,,,,,,,4,4,,,"I bought this minivan brand new in Alaska because we just had a baby girl.  Being Alaska I needed something with all wheel drive and very comfortable.  So the Sienna was the only minivan with that option.  Drove it cross country when we moved to North Carolina.  Use it for long distance trips for the first 3 years.  Then as my commuter to work and school, wife and daughter falls asleep in it all the time even short trips...  I've rented the Dodge minivan and it feels heavy like the truck frame its built on.  The Sienna is more like a car, nibble and fast, out drive a lot of others on the road.  I've even towed a pop-up camper several times, only need a electric brake installed since I got the hitch package on it which is just the hitch frame, nothing else special with it.   It was doing great until a guy hit us from the side and had to replace with whole front driver's wheel assembly.  Had other repairs later on but due to the accident.  At 45,000 miles had to replace all the break pads and at 50,000 has to replace the shocks and struts but since I tow with it I understand that.  Overall a great minivan.  If you want more bells and whistles then you need to really look at each version of this model but that is with any vehicle.  Other minivan have better storage area but that does add to the weight in my thought on it.  Also, to those about the expensive to repairs, if you do go to the dealer its going to cost you more no matter what but in my opinion if you want something done right with out too much hassle then go to the dealership, since they work on that type of vehicle all the time so they use to it.",,
,,,,,,,,,,,,,,,,,
5,Great so far,Bill ,09/26/2016,5,5,5,,,5,5,5,5,,,"Bought from a local dealer to replace an '05 Town & Country.   Wanted the Toyota reliability reputation.  Wife loves the ride and luxury of the limited edition.  The high miles (96,000) don't really frighten me after researching Edmunds, etc. and talking to owners.   Grand kids love it!",,
,,,,,,,,,,,,,,,,,
5,7 Years in.... Will never go without AWD!,Lee ,10/15/2015,4,5,5,,,5,5,5,5,,,As a Mercedes E63 owner I can not believe that my best vehicle I've ever owned is our Sienna AWD limited 2009. After 7 years of family fun - I have no complaints. we have decided to keep it for years to come and purchase a new Sienna as our long trip vehicle using the older one for day to day and teaching the now teenager to drive. I'm  writing more to focus on the AWD version - we are a mini van family - but  the Sienna was our first AWD - purchased for the occasional trips to mountains for sking - but to the contrary we use it almost every day!!! Turning a sharp right turn into a highway - no problem - no spinning front tire - wet pavement  - wow amazing control.,,
,,,,,,,,,,,,,,,,,
5,THE BEST VAN MONEY CAN BUY,zama ,09/16/2015,5,,5,,,5,5,5,5,,,The best minivan can you can buy don't listen other people who are picky and u never made them happy,,
,,,,,,,,,,,,,,,,,
2.75,You would think I would be happy.,spadedevil ,04/03/2013,,,2,3,3,3,,4,2,3,2,"Went from a 1996 Chrysler Town & Country to a 2009 Toyota Sienna.It feels like every time I turn around some little thing is breaking.It just doesn't seem like the quality that I was expecting is there.Stupid little things bothered me at first.Things that were on my 1996 I had expected would be standard by 2009.Memory seats, light in the glove box, turn signal control lights.As I drive it more things started to break.Folding seat in the back wont fold.Power adapter in the rear of the vehicle clips broke and pushed inside the wall, sliding door seal started coming off.Sliding door sometimes decides not to work.Thankfully nothing engine wise yet, but I don't have much won't",Power sliding doors,"Look at the Town & Country and put the same features in.
Build the car with long term use in mind."
,,,,,,,,,,,,,,,,,
2.125,isn't holding up well,wmau ,09/28/2011,,,2,1,2,2,,3,3,2,2,"We bought the sienna only because of the 8 seater and the local dealer offers a life time guarantee on the transmission. Everything seems to need to be replaced just as the warrenty runs out - brakes, tires, etc.. This spring (only 1 1/2 year old car) the left passenger door broke and recently at less than 2 years old the right side broke. The estimate is over $4000 to fix them. Thereason I was told is that we drive too much. Dealer informed us that we should only be driving 13k miles per year.  ",,Parts that last longer. Recently read that the average suburban commuter drives 32k miles per year; we live in the country. Make a car that lasts longer or up the warrenty. If a door can't last at least 2 years something is wrong.
,,,,,,,,,,,,,,,,,
4.75,Great So Far,rs118 ,04/29/2010,,,5,4,5,5,,5,5,4,5,"Never had a car this big so it's easy to love the huge space.  Captains chairs are great for the toddlers.  Third row works for two large adults after configuring all seats.  Really nice inside.  Much smoother and quieter than the Odyssey I'm familiar with and tested.  13,000 miles, just regular maintenance.  Occasionally when starting the van, the JBL stereo lights are off and the volume knob won't work.  Using volume on the steering wheel seems to correct it.  Engine is a little loud, seems like a loud exhaust note at times, but quiet when cruising.  Tires wearing quickly.  Only 17 mpg in city driving.  People don't hear us well on Bluetooth, cheap no-name aftermarket is better.","Power doors and lift gate, deep trunk space behind third row, built-in sunshades, smooth quite ride.  For a family van, why look for agility and handling if you must sacrifice a significant amount of quiet and comfort or space?  Especially when the choices with agility and handling are slower?","Slightly bigger 17"" tires or perhaps 18"".  Better quality stereo / bluetooth option.  Easier options packages.  Hood shocks, but the hood is pretty short.  Since it has power doors, and the stereo light is on the blink, I'll look into an extended warranty.  Should have got one before the recalls!"
,,,,,,,,,,,,,,,,,
2.25,Hate it!,Kimberli ,04/23/2010,,,2,5,2,1,,3,1,2,2,"We traded in our 2002 ""Jalopy"" Grand Caravan for this van. It is my first brand new car EVEr! I am so disappointed in the reliability. I've had a front end noise that dlrshp can't duplicate, my brake/accelerator footpad shivers at certain speeds and in certain road conditions. Again dlrshp cannot duplicate. Most importantly, long road trips 4+ hours are horrible. The ""lumbar support"" is unsupportive and lower back hurts after just 2 hours!",Sliding passenger doors and fold down 3rd row,Better lumbar support! Pay attention to quality vs. quantity Toyoda-san. Hai domo arigato gozaimasu.
,,,,,,,,,,,,,,,,,
3.5,Gas Mileage,gl2238 ,03/12/2010,,,4,4,4,4,,4,4,1,3,"Very distressed at the fuel economy.  Driving around Henderson, NV local driving average fuel economy is less than 8/9  mpg.  On the freeway at constant speed i.e. 70 mph, fuel economy 14 mpg is the norm.  My 1999 Yukon with the 350 gets 18/19 mph hwy.  Overall the car is exceptional in ride and quality.  Severe power limitations with Toyota battery.  Insufficient reserve power to start car after door or other accessory has been on.  I routinely have to jump start or charge the battery.  I have been back to the dealer twice to check battery drain or if defective batteries.","Interior layout and cargo capacity with the 2nd row out and 3rd row folded down.  When we travel, cargo is in back and two 90lb labs take up the middle.",Increase size of battery.  It is severely limited in capacity considering everything on my vehicle is electrical and there are many courtesy lights on when door(s) are opened. 
,,,,,,,,,,,,,,,,,
1.5,Wish I would have kept my caravan,minivan mom ,11/28/2009,,,2,2,1,1,,1,2,1,2,I traded my 2005 Grand Caravan in on the 2009 Toyota sienna because everyone told me they have the best quality (WRONG). It's been in the shop more than I have owned it with motor and trans issues and the elusive noise they can't seem to find. Give me back my grand caravan.,look,"Better quality, better drive train, better interior."
,,,,,,,,,,,,,,,,,
4.5,Toyota...American Stye,chastek ,11/21/2009,,,4,5,4,5,,5,5,4,4,"Our van serves as daily people hauler and weekend plaything for a family with four kids.  It's very roomy with plenty of interior storage and cleverly designed seats.  The fit and finish is not as good as our Lexus, but is probably better than average.  The powertrain is super smooth and it never lacks for power, even when fully loaded.  We average 22mpg in mixed driving.",The engine/transmission Smooth ride Ample storage. ,Warning chime when rear vent windows left open. Relocate eyeglass holder and rear HVAC controls to more accessible locations Rear seat power ports. Strap to avoid rear center seatbelts from falling below seat when folding. 
,,,,,,,,,,,,,,,,,
5,Loving our new car!!,mruiz1495 ,10/23/2009,,,5,5,5,5,,5,5,5,5,"This is the best minivan period! I love the roominess of the Sienna inside, the handling is OK, and performance is great.","Dual Power Sliding Doors, Power rear hatch. Heated seats.",Better gas mileage.
,,,,,,,,,,,,,,,,,
5,My Very First Van! My 6th Toyota!,carlady ,10/18/2009,,,5,5,5,5,,5,5,5,5,"Being price conscious we opted for the CE model. It has all the features we need. We didn't need a van when our children were young, but need it for the grandchildren. Two weeks after we purchased the van, we took a 2000 mile road trip. That was when we truly fell in love with this van. We grew to appreciate the comfort of the seats and the handling of the van. It is amazingly easy to park and gets adequate mileage on a trip. We got 26- 28 mpg on a trip. In town we get an average of 20 mpg. We keep wondering why we didn't get a Sienna years ago!","The deep well behind the third seat is perfect for groceries so they can't roll all over. The sliding doors are a plus in a crowded parking lot when buckling the grandchildren. All the seats are so plush, and adults can sit comfortably in every seat with leg room to spare, even the third row seat.","My only complaint is a blind spot with the right outside mirror. Because of sitting higher in the van, I sometimes miss seeing a vehicle approaching from my right side. After a near miss, I learned to cautiously check before backing out onto the highway."
,,,,,,,,,,,,,,,,,
4.875,Outstanding,bobsienna ,09/12/2009,,,5,5,5,5,,5,5,4,5,"This is the best vehicle that I have ever had.  It is very comfortable and a joy to drive.  There is plenty of room to carry things.  I wish I had it when my kids were in college to haul many pairs of shoes.  It gets good mileage on the highway but not so good in town, however I drove a PT Cruiser for a few days and only got 2 MPG better mileage.",Comfort and carrying room.,Better gas mileage.
,,,,,,,,,,,,,,,,,
4.5,"So far, so good",seye ,08/28/2009,,,4,4,5,5,,5,5,4,4,"Just passed six months of ownership.  Van drives great-- smooth acceleration, supple ride, excellent turning radius and decent sight lines.  Drivers seat not as comfortable/adjustable as I would've expected.  Interior engineered well with lots of storage.  Intuitive HVAC.  I sprung for the JBL Synthesis system and I am disappointed with the sound.  Not nearly as good as other premium set-ups I've had.  Otherwise, very happy with the van so far.",Smooth engine/trans. Very versatile/roomy.  ,JBL sound system is below average.  Driver's seat needs more adjustability.
,,,,,,,,,,,,,,,,,
5,Good for long distance travel,Laugh2 ,08/01/2009,,,5,5,5,5,,5,5,5,5,"We bought the vehicle to replace an older Sienna. We have driven it more than 17,000 miles and have had no issues with the van. Good acceleration, comfortable on long trips and great mileage (as much as 26+ on a 1800 mile trip).  We like the bluetooth and navigation system, backup camera and automatic side doors and rear gate.  Smooth and comfortable ride with great turning radius. ","Multiple use navigation system, backup camera and automatic rear gate.  Comfortable seats and great space.",Cannot operate the navigation when driving even with a passenger (should sense passenger and allow entry of new address etc.). Still have not figured out some of the navigation features. The system is not as intuitive as some others I have used or even when compared to our Garmin. 
,,,,,,,,,,,,,,,,,
3.75,"Bad, Bad A/C",M Perez ,07/23/2009,,,5,4,3,2,,4,4,4,4,I purchased a new van so that my wife and kids would not have to deal with all the aches associated with an old car. We live in So Cal where the summer temps go over 100 deg. The A/C on the van has stopped blowing cold air on 5 separate occasions. This happens either when stopped or driving so it's not even a consistent problem. We take it to the dealer and they say they can't find anything wrong with it. I had previously purchased a Camry with NO problems. Thinking Toyota was more reliable I purchased this car for my wife and it was a BAD mistake. Next time I will go with a Honda for the family van.,"Very roomy, great middle seat in second row if you have infant. The seat can be moved towards the front or back with ease. Great feature for family with infants and toddlers. ",Better A/C. Visibility is horrible. Cameras in back should be standard on these high priced vehicles.
,,,,,,,,,,,,,,,,,
5,"So far, so good!",Dave ,06/25/2009,,,5,5,5,5,,5,5,5,5,"This is my third van (the other two were a Ford and an Olds) and the Toyota is definitely the best riding. Build quality is excellent and the engine very smooth and powerful. At this point I have no complaints, but have high expectations based on Toyota's reputation.  Will keep you updated. ","Bluetooth connection, six CD changer, excellent looking instruments, lots of storage, very comfortable seats and ride, excellent build quality.",Middle vents on dash have no shut off.
,,,,,,,,,,,,,,,,,
4.125,Grille design allows condenser damage,Dave Shantz ,06/25/2009,,,5,2,5,2,,5,5,5,4,"I just found out my AC condenser leaked all the freon due to a stone impact.  The openings in the front grille measure two inches by three- quarters of an inch.  This design allows stones to impact the condenser directly behind the grille.  The $1300 repair cost should be covered under warranty, but it's NOT!!!! I bought a new car so that I wouldn't have to pay for these kind of repair costs.  Buyer beware.",,Decrease the opening size on the grille so that the condenser isn't damaged by normal road stone kick up.
,,,,,,,,,,,,,,,,,
4.875,Love Our Sienna Van,LoveOurToyota ,06/11/2009,,,5,5,5,5,,5,5,4,5,"We love our van.  I had a hard time getting past the van stigma but once I did I would never go back.  This car is so practical.  We have kids, and the room and comfort of this car is amazing.  It drives so smoothly.  It is so much fun to drive this van.  The automatic doors is a huge plus.  I always worried about the kids hitting other cars when they opened the doors.  You can close/open the doors from the inside of the van.  This car is made for families.  Toyota did a great job designing this car with so many family friendly features.",We love everything about this car.  The DVD is a must for families.,None at this time.
,,,,,,,,,,,,,,,,,
