rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
3,"Good engine, horrible transmission",Jerry ,04/05/2016,3,3,4,,,3,4,4,4,,,"My transmission was clunky, imprecise, loose, un-enjoyable, unsatisfactory, notchy, etc.",,
,,,,,,,,,,,,,,,,,
4,just enough,Robert Eric Lee ,02/02/2016,2,4,4,,,4,5,5,5,,,The price of the model before hand.,,
,,,,,,,,,,,,,,,,,
5,Great vehicle,Lumber marsey ,01/29/2016,4,5,4,,,4,4,4,5,,,"The purchase of my 2009 Tacoma has worked as good or better than I had anticipated. The handling, comfort, mpg are or have been better than expected.",,
,,,,,,,,,,,,,,,,,
3,Toyota Quality Declines As They Refuse To Accnowle,James Haggerty ,12/20/2015,3,3,4,,,5,4,4,4,,,"I own a 2009 Toyota Tacoma Sport. This is their top model with the most expensive tag yet the aluminum coating is peeling off the base metal on the rims.I contacted customer service and was told to take it to a dealership for inspection. The conclusion, (or should I say collusion as they appear to know what the answer was going to be from corporate headquarters) , was that the bubbling and peeling was due to exposure to the elements. Toyota says it's normal usageissues and not their problem because the 3/36,000 warranty is over. All I could do is apologize for not having the forethought to bring them in at night. Bottomline is don't buy a Toyota with aluminum rims or better yet don't trust Toyota until they start acting like the company they once were.",,
,,,,,,,,,,,,,,,,,
5,Great overall midsize,gumpscheck ,02/10/2014,4,2,5,,,5,4,5,5,,,"Has been a good truck so far.Bought my 2009 TRD Off Road in March of 2010 (used).Truck had 16K when I bought, now has almost 60K. This thing is great on the highway.Much quieter than my wife's CRV.After reading these reviews, looks like the 6 speed manual was a good choice.Only problem I've had is the radio issue others have noted of turning on/off on its own.Six speed manual not the best on mpg, but tows well and off roads well.Update:  6 speed manual developed a grinding going into 3rd.  Many blogs out there on issue.  Mechanic ""couldn't duplicate"".  I suspect synchro work in future.  Had leaf spring recall done.  No problem there.",,
,,,,,,,,,,,,,,,,,
4.125,Toyota quality?,seanski1 ,08/09/2013,,,5,4,4,3,,4,5,4,4,"1. On fourth radio!Replaced under warranty, all.Radio would turn on, on it's own, turn off on it's own, wouldn't turn on at all and would not shut off when needed.Toyota radio's can have issues.Talking with lady today who I shared shuttle bus home from Toyota (more on that down page) and she too experienced problematic stereo system in her Toyota.2. Steering linkage boot torn underside of truck which apparently needed whole steering assembly be replaced not just boot cover.This also under warranty.3.Reason for this report?Truck is an '09, with 57,000km on it and is now in shop for a new starter! No warranty left, $500 bill coming up!","Comfortable, well finished with nice appointments inside.
Full assortment of airbags, traction control etc. This truck rides like a car, very smooth.","I'm sure I just got one of those vehicles that has issues.
I'm not out to brand the brand with negativity.
3 years, or 60,000km warranty with respect to issues with starter replacement isn't acceptable in my opinion.
I think it needs review and a correction."
,,,,,,,,,,,,,,,,,
3.875,"2009 Tacoma Prerunner 4cyl, Manual 5spd",n2wood ,01/10/2013,,,4,5,3,3,,3,5,4,4,"Purchased in Dec 2009.Good looking truck.I have pampered truck for 48 months.Have same problems with radio as other owners - turns itself off and on in extreme cold or hot temps.Toyota appears to have resolved that problem after 2009.Just turned over 35,000 miles on odometer and clutch has started to slip.It is not operator error.I had a 1990 Toyota 6cyl, manual 5spd truck for 16 years and never had to replace anything, but starter and timing belt.Based on my google search, the problem is the clutch made in Mexico.A replacement AISIN clutch, made in Japan, appears to be reliable.Normal mpg has been 20-23 with non-alcohol gas.","Appearance, comfortable.",Clutch and radio are definitely problems with 2009 model.
,,,,,,,,,,,,,,,,,
3.5,Nice truck but not a keeper.,rblau ,08/30/2012,,,3,5,2,5,,3,4,3,3,"I bought my 2009 Tacoma regular cab with the manual transmission in June of 2010 with 13,000 miles on the clock and traded it in August 2012 with 42,000 miles on it.I loved the way the truck looked. Reliability was never an issue. My Tacoma never failed to start and never left me stranded. The 2.7 four is a great engine. I averaged about 20 mpg with it.My dissatisfaction was the result of the trucks build quality. I had constant rattling coming from the drive shaft going over bumps when the drivetrain was unloaded. The dealership replaced the driveshaft. The problem remained. Toyota said it was a known issue with the 4x4 manual regular cab. I would have to live with it. I chose not to.","Great engine, decent gas mileage. Nice size and good looking.

Very reliable.","They could not have built this truck any cheaper. How much would it have cost Toyota to equip this base Tacoma with intermittent wipers?

Rear leaf springs squeak like a used up old beater. A known issue but Toyota is still shipping Tacomas with this problem. The buyer is forced to bring their truck back to the dealer for a fix under a TSB. Unacceptable drive line rattle and slop. 

The gear ratios for the manual transmission are ridiculous. "
,,,,,,,,,,,,,,,,,
3.125,General problems,pgrazioso ,01/02/2012,,,4,4,3,3,,3,3,2,3,Our truck is three years old. There is a squeeking noise in the shocks. We had the radio replaced. Also the lights on the dashboard for the the controls. The accelerator pedal was recalled. Gas mileage is less than we expected. Now we have rust on the frame.All-in-all we expected better from Toyota.,,
,,,,,,,,,,,,,,,,,
3.25,Frame rust,pgrazioso ,01/02/2012,,,4,5,3,3,,3,3,2,3,We've only had this 2009 for three years. There is lots of rust on both sides of the frame. There is also rust under the hood where the cross-bar supports the radiator. We are wondering if this is common and what people have done to solve the problem.,We like the rear camera - it's very helpful in seeing what is behind you.,"Adustable seat on the driver's side. Side mirrors are too big. Also, they could improve viaibility of the ""dead spots"" when looking in the side mirrors."
,,,,,,,,,,,,,,,,,
3.75,It's a truck,jimc47 ,09/21/2011,,,3,5,3,5,,4,4,4,2,"Disappointed with seat height, feels like my legs are jacked up.Hard to get in because of steps.If I kept this truck I would take the steps off.Paint seems to be too soft.Has a diesel sound at times when accelerating,I think mid grade or premium fixes that.No vehicle is perfect, so these are my complaints, I am now in the process of trading it off at 23,000miles.Resale is not as good as expected either.","Best looking exterior.
Dependable.",
,,,,,,,,,,,,,,,,,
2.875,Not very happy with my 3rd new 4WD Taco ,gw8 ,04/26/2011,,,3,3,3,2,,3,3,3,3,"I have a more positive review earlier by GW7.Now the 3rd radio in my Tacoma is malfunctioning.It will be replaced again under warranty but I now have to question some of Toyota's quality, they just seem to want to keep replacing defective radios until the warranty expires.I have been loyal to Toyota because of reliability, but my patience is wearing thin on this issue.",,
,,,,,,,,,,,,,,,,,
3.25,09 tacoma,ron191 ,03/01/2011,,,3,5,3,3,,3,3,3,3,"I have had my 09 Tacoma for almost 2 years. I will soon be ordering radio number 4 due to defects. The first two radios were plagued by volume control knobs that became unresponsive. My current radio went completely haywire with all the buttons doing the exact opposite of what they are suppose to do. Numerous squeaks and rattles in the dash and headliner have become extremely annoying. Gas mileage is not that great for a 4 cyl.In the summer, I average about 20mpg, in the winter, I average about 18 mpg. My clutch also creaks loudly, more so in the summer. I do like some of the standard features with this truck (vsc, numerous airbags, etc.",,I am disappointed in the quality. I purchased a Toyota for their perceived quality but they have cheapened everything up just like everyone else has for the almighty dollar.
,,,,,,,,,,,,,,,,,
2.875,Barely a truck,jequines ,02/05/2011,,,4,4,2,4,,2,3,2,2,"Have put 50,000kms on now with not too much trouble. Stereo went dead within 2 months of buying it, dealership replaced. This truck is terribly underpowered, drove it through the mountains and I was down to 60kph in 3rd gear full throttle. Frame seems weak if I drive down a gravel road I can see the box shaking and twisting independant of the cab quite violently. Box wont hold much wieght, at 600lbs rear suspension is almost fully compressed. Truck gets awesome gas mileage and the styling is great.","Interior feels decent and comfortable, gas mileage is excellent.","New frame, new engine and stronger rear suspension, or stop selling this as a truck as it is not even close to capable of doing what toyota claims....like drive up hills or carry a small load."
,,,,,,,,,,,,,,,,,
4.25,Very happy consumer,ne_yota ,01/31/2011,,,3,4,5,5,,5,4,4,4,"My experience has been excellent.Zero issues to date (31,000 miles now).I collected every gas receipt since the purchase (6 miles rolling out of dealership), and averaged 20 mpg with a high of 22.Power has been very good.The Sport model suspension is perfect for high-way driving at speed.I have not experienced the issues that others provided here.The AC is almost too cold, no electrical issues, handles very good in the snow, accelerates very well onto the highway, and no body fit issues. The goal is 400,000 miles, and I don't feel that it is unrealistic.","Steering radius is on par, or better than my Golf TDI.
The truck has saved me twice on blackice with the traction control.
The 2nd time going 60mph.
TOTALLY WORTH IT!
I now consider it auto AND life insurance.
I can't understand those who say it doesn't have good acceleration.
Warms up fast in the winter.
Rear view camera was considered a novelty at first, but now I miss it when driving other cars.
","Heated rear view mirrors for winter time.
Brakes are a bit dead feeling.
The interior design is kind of weak, especially at the radio area.
Obviously splitting hairs here.
The rear window is sort of small.
The two rubber strips on the roof have come off twice.
Glad I didn't opt for the roof rails.
I wouldn't have any confidence in them staying put.
"
,,,,,,,,,,,,,,,,,
1.625,Inferior,GARY ,11/02/2010,,,2,3,2,2,,1,1,1,1,"Bad gas mileage and lacks power. Runs a little better when the air is off. This is my first and last Toyota truck. I traded a 95 Suzuki sidekick with 150,000 miles and was a better made vehicle than this thing. My truck has 10,400 miles and already has signs of rust on wheels and frame. Dealer and Toyota agree it is from road abrasion and won't cover problem. I have a 2002 Ford Taurus with 50,000 miles and has no signs of rust. A blind man could see that the wheels has very little of the paint on them. The price of the truck should have more accessories. The truck is hard to shift and sometimes impossible to get into reverse. The radio when first purchased had a mind of it's own. Warranty stinks",Body style,Quit being so cheap and guarantee what you sell or sell in your own country. American's want quality not junk.
,,,,,,,,,,,,,,,,,
