rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
2,Sell it before you hit 100K!,George ,08/07/2016,,3,5,,,1,5,5,5,,,"I bought my '09 2.0T with less than 30K. Never put anything but synthetic oil and premium gas in the thing. It was a dream to drive until I started blowing ignition coils close to 80K. At around 103K it started dumping oil and coolant - so much it was embarrassing to park it anywhere. Took it to two reputable shops - they both told me it wasn't worth fixing.  I just let the thing go at 106K for $2,500 as a trade in.",,
,,,,,,,,,,,,,,,,,
4.875,100K Mile and still going strong,mj48 ,06/21/2013,,,5,4,5,5,,5,5,5,5,I bought this car new for my wife and have never had any but normal wear and tear issues. Living in a snowy climate I did have to change the tires but other than that a great car. Performance is great. It has a good ride and a lot of standard features. I chose this car over Toyota and Honda.,"2.0 Turbo, ",
,,,,,,,,,,,,,,,,,
4.25,reliability issues but great car besides that,jpl15 ,02/22/2013,,,5,4,4,2,,4,5,5,5,"The Edmunds review is spot on. The car is fun to drive, sporty and yet very comfortable. I love this car, but within two months it has broke down on me twice to include a fuel pressure regulator and a water pump. Luckily it was certified pre owned so out of pocket costs were minimal. I take great care of this car and maintenance it myself every 5000 miles with synthetic oil and have already replaced air cleaner. Hard to enjoy the car if it will keep breaking down and im only at 55000 miles. Plenty of room in the back with 2 kids and the trunk is huge. I can fit large strollers among other things.","interior, engine power, smooth ride and handling",road noise is awful and reliability issues
,,,,,,,,,,,,,,,,,
3.75,Dont buy this if its cold or snowy ,gheater ,01/17/2013,,,4,4,4,3,,4,4,3,4,"This car cant move in 1"" of snow.Brand new tires put on 11/12, and i cant make it up my driveway, or my small hill to my house.I had a 2000 Pontiac Grand Am that did this with zero problem with more snow on the ground.Also, the windshield wiper motors will freeze as soon as its under 20 degrees outside.Not a great feeling when the wipers dont work and its snowy/icy.Car is great in the spring - fall.Or get one in Arizona.Pissed that a German company makes a car with such bad performance in cold weather. Will trade it in as soon as possible.",,
,,,,,,,,,,,,,,,,,
4.75,Follow Up,mbehn ,10/28/2011,,,5,5,5,5,,5,5,4,4,"Follow up to review last year. Car is not 2+ years old with 39K Miles. Runs beautifully, with one recall for a switch, one service for a loose A/C condensation hose - both free of charge. Still as tight and sweet as when purchased, and the Perellis are still in great shape.So far, so good! ",,
,,,,,,,,,,,,,,,,,
4,"Great Car, Great Value, More room than monster SUVs",ray4now ,07/27/2011,,,4,3,4,4,,4,4,5,4,"I've owned mine since June /09. I was skeptical at first - somewhat odd looks, VW reputation for marginal reliability, not all the luxury I really wanted. However on test drive changed that. The 2.0L turbo engine is fantastic - quick, responsive, pulls very hard when you mash the throttle. The 6 speed transmission is mated perfectly to it and is smooth and accurate in shifts. So far, so good. I've got 36K+ miles of mostly highway driving and no breakdowns/strands/failed starts. No maintenance costs either with first 2 years covered. Some trim pieces have broken due to little kiddie fingers.I would highly recommend this car for anyone looking for an alternative to ridiculously oversized SUV","Without a doubt, the power tailgate is the best feature here. Always a lifesaver when I have my hands full returning from the store. SAT stereo is good, seats excellent for long drives, interior fit and finish is good.",iPOD integration needs improvement - very limited functionality and no charging while plugged in - what??
,,,,,,,,,,,,,,,,,
4.625,Great Car,sconner69 ,06/25/2011,,,4,5,5,5,,5,4,4,5,"This is the first ""new"" car we have ever bought, We purchased it in April 2010 however it was a 2009 Demo so not really brand new. Anyway it had just at 5K miles on it when we purchased and since then we have driven about 23K miles. We have had not had any mechanical issues with the car. I like others would have really liked memory seats. As I am 6'5"" and y wife is 5'6"" so we are always changing the seat. The 2.0L Turbo has amazing power and we average about 24mpg I have gotten 35mpg on the highway driving at 55 and really trying to get the best milage. Overall the car has been quite nice. ","Love the power that little 4 cylinder engine puts out. Love the auto hold feature. The stereo is very nice, the trunk is nice and roomy, and we really like the looks of this Passat. Heated seats are great, and the fit and finish is really nice, no rattles, no annoyances.
This is our 2nd Passat, the first was a TDI and we really miss the TDI fuel milage, but since both of our Passats have been great vehicles we will trade up to the 2012 TDI to get the fuel milage back.","I can think of just a few things to improve upon, buy better tires to sell on your cars VW at 27K miles ours are shot. I said it earlier, memory seats. Some sort of ""sync"" system would also be nice.
Those three things would have gotten all 5's from me. Instead VW you got three 4's in my review."
,,,,,,,,,,,,,,,,,
4.5,Great German Car,mbehn ,12/24/2010,,,5,5,4,4,,4,5,5,4,"Have had this '09 since 8/09.It runs flawlessly and is a very enjoyable family sedan.Storage is HUGE, performance is tight and torque is excellent.High end smooth comfortable ride with great control.Most of the benefits of Audi w/o price tag.Great bargains to be had (this one was $5K off sticker).No, not as cheap as a Camry or Honda, but much more style, class and fun to drive.This car is a sleeper and soon to be changed and produced in Mexico - it's a buy. ","Fabulous engine, excellent interior and exterior, very thought out, almost predicting drivers needs and wants.
Great features even in base versions.
Unique.
German engineering.","Stock sound system is OK - multi CD player, 10 speakers.
BUT, not as nice as some systems (Bose for example).
Lacks far rear woofer and speakers in wagon, so kind of boxy sound.

"
,,,,,,,,,,,,,,,,,
4.75,Great thus far,fmrporscheguy ,11/11/2010,,,5,5,5,5,,4,5,5,4,"Have had this car for a full 3 months, and it's met or exceeded my expectations.  So far no unscheduled trips to the dealership, which is good. Being that this is a ""performance"" German car, you have to know it will need regular maintenance.  The engine is adequate, though not at all inspiring. Does a decent job of moving along when pushed.  Int design is very nice. Leatherette works great w/o worry of ruining it with wet beach shorts, sun damage, or regular wear and tear (look at pics of older models and seats still look new). Center tunnel is a tad narrow and would be nice if it were carpeted.  I think ext looks nicer than Passat sedan. Audi-esque front grill is great!","CD changer, iPod connection, Sirius. Like the rear hatch up/down buttons. Nice storage bins. Comfy, low maintenance leatherette seats. Sleek style. Black metallic paint. Nice wheels!","Don't like the Tokyo nightclub ""blue"" radio. Use a cable to link iPod, not awkward direct connection in glove box. Carpet the footwell so more comfy if can't narrow center tunnel. Xenon lights as safety option/std. Upgrade int plastic arm rests/handles. Offer AWD option. Make 5-star rated. Diesel!!"
,,,,,,,,,,,,,,,,,
3.375,For New Models,DFt Lauderdale ,08/18/2010,,,5,2,4,4,,4,3,2,3,For a car listed for 29k a middle of the road final product. I have rattles in the dash area from one end to the other. The dealer can't fix. The light interior color on areas where dirty shoes will come in contact are impossible to clean. Like lower doors and where speakers are placed which also will be damaged when someone gets in and presses there shoe to hold the door open or just scrape when getting in or out. I do not drive much so not hampered by bad gas mileage. But for a four it's a nice car.,Good interior finish. Can move when you press the gas. ,Cleanable areas where foot and hand contact occur.
,,,,,,,,,,,,,,,,,
2.25,Extremely Unreliable,lee ,07/08/2010,,,3,3,1,1,,3,3,2,2,"The car is stylish, but unfortunately seems to break down frequently. I have under 30,000 miles and have had the throttle body replaced, throttle body wiring, and steering column replaced. It has left me stranded 5 times. Probably the least reliable car I have ever owned. I'm totally bummed I have a 4 year 60,000 mile lease, it's a horrible car",,
,,,,,,,,,,,,,,,,,
4.875,Eurostyle wagon experience,Landon ,04/26/2010,,,5,4,5,5,,5,5,5,5,"I shake my head at all our neighbours driving these hideous SUVs and crossovers that handle like buses and drink fuel like crazy.  There are options!  This car has way more room than our neighbour's Murano and is a blast to drive!  We love manual trannys and this was the only wagon we could get one in.  We got a highline with real leather, moonroof, dual climate, satellite radio.  Had an Acura TSX before and this is quicker but gets the same mileage.  It is also quieter and smoother but the leather and aesthetics were nicer in the Acura.",Love the engine and trans.  Unbelievable engineering to get this kind of low end torque from a turbo 4.,"Not crazy about the black plastic sill around the exterior, hard to keep clean and would look much nicer if it were body coloured.  Some of the exterior plastic chrome is already rusting despite very frequent washes."
,,,,,,,,,,,,,,,,,
4.375,Brakes Already!!,Melissa ,03/13/2010,,,5,5,5,3,,4,4,4,5,"Completed all maintenance as required. Dec. 2009 had 20k maintenance completed. No issues. Now 3 1/2 months later, 4k miles, rear brakes are grinding! Come to find out there are no sensors/indicators. Questionable if brakes were even checked during maintenance. Tech wasn't required to jot down any numbers/levels when maintenance was done!! 2 days ago was the first time any problems were noticed - grinding already...Friday serviced = $350.00 just to replace pads. I've never had to worry about brakes on any of my previous cars until well over 35k. My 2000 Passat's rear brakes were done around 50k. Tech should have noticed something in Dec, therefore I could have anticipated the charges!",Care Free Maintenance - is only worth it if all work is done and documented. ,Have all your levels/%/numbers documented when you get the Care Free Maintenance done. Now I know to request those figures during maintenance (and their threshold) so I can be better prepared for any future work. 
,,,,,,,,,,,,,,,,,
4.75,Another great VW,Robert Clark ,01/28/2010,,,5,5,5,5,,4,5,4,5,We have owned several VWs and this is by far the most comfortable on the road. Recently drove 1200 straight through with wonderful comfort. A great ride and fun to drive.,Nav system and overall design. ,
,,,,,,,,,,,,,,,,,
4.125,Road warrior,farfugnugen ,01/14/2010,,,4,4,4,4,,4,5,4,4,"This car averages 22 city 27 Hwy (@75- 80). If the road is good, the car is great, smooth ride, fairly quiet, excellent feedback and handling. 70 mph no different the 90 mph. If you live where the roads are bad, this car is not for you 70 mph will not be tolerable, lots of road noise, and you will feel each bump. Driver seat is great, IPOD could be better(can't see the songs, only track numbers), radio is better then o,k but not great. JPL. BOSE, infinty much better. Very good with one driver on goods roads or in heavy traffic. I love the electronic break, so you can relieve foot pressure with stop and go traffic. 30,000 mile a year road warrior,the seat is the second best I've had. 8k mile",Driver seat and smooth road ride and feel.,"Radio could be better, arm rest should be able to move forward or back for comport. Different tires on 17"" wheels.....maybe"
,,,,,,,,,,,,,,,,,
4.875,Passat Family,David ,12/30/2009,,,5,5,5,5,,5,5,4,5,"My wife has a 2002 model with 140000 miles that appealed to me more than my 2001 Camry which is simply reliable transportation with nothing extra.  I looked at all of the 2009 Models (Camry, Accord, TL, Altima, etc.), and I was sold.  The Passat has more standard features than the loaded Altima and Camry.  I have averaged over 27 mpg for the first 10k miles which were mostly highway. The gas mileage in city driving is closer to 18 because I like the turbo. This car really feels a step above its major competitors (Camry, Accord and Altima) without the extra cost of a comparably equipped model (if the competition even offers the features).  VW seemed more willing to negotiate on price","Turbo and acceleration, trunk (useable space, grocery hooks and mat kit), built in window shades, horse power to gas mileage ratio","Better factory tires, more luxurious material for the interior, power passenger seat and driver seat memory"
,,,,,,,,,,,,,,,,,
4.75,Fun,EJScott ,12/27/2009,,,5,5,5,5,,5,4,4,5,This has been a great car.  Love the size of the trunk and the power tail gate great. The leatherette is actually really nice feeling. The engine can really pull this car if you step on the gas.,"Navigation, Engine, The Car",Wish the car came with the Ipod cord for the mdi hook up. 
,,,,,,,,,,,,,,,,,
4.125,Bluemotion 2.0 liter Diesel,finlander ,12/12/2009,,,4,4,5,5,,4,4,5,2,"I wish I could bring this car back to the USA with me. With 50+ MPG, it is incredible. Engine fairly quiet. Service after 10K is way too long",The auto startup/shutdown to save even more fuel when stuck in traffic jam.,The car is way long. Wish I had park assist. My BlueMotion suspension is too low to the ground and sometimes causes problems in the snow
,,,,,,,,,,,,,,,,,
4.125,new Passat,rvfool ,12/02/2009,,,4,5,5,3,,4,5,2,5,"Just got the car.  Surprise by the power. Fun to drive but wife having problem with turbo and a lead foot.  I had a 05 TDI Passat before.  This is bigger.  Miss the mileage of the diesel. Tires are expensive because of the 17"" wheels and they are a summer thead.  Needed snow right away.  Comfortable and a better car for me than the CC.  Did not like the low roof, rear view mirror or performance of the CC.  There is a lot of leg room front and back. Wish it had blue tooth, homelink, and memory seats.","A lot of leg room, comfortable set, nice lay out of interior, power strong for 4 cyl. Neat place in glove box to store manual. large trunk and full size tire. ",Cup holder could be better placed like in the 05. Include bluetooth. Should have memory sets.  Needs to have a special bolt included to help with tire change. should have an initial 5K oil change. wife can't see outside temp or clock.
,,,,,,,,,,,,,,,,,
