rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Rabbit,Matcy ,02/22/2016,4,5,5,,,5,5,5,3,,,Awesome,,
5,Rabbit on Rabbit - Pure Adrenaline,Watson Martin ,02/18/2016,5,4,4,,,5,5,5,4,,,"Go Rabbit go has been going for now decades. With its generational shift to mature adults who once X owned 80s Rabbits. Unfortunately, the unibody pick was not crossed over. More about that later. I live in Roanoke VA driving mostly along interstates or the valleys jurisdictional byways with plenty of ups downs and curves of all sorts. Car handles like a charm even more so on passes crossing dozens of ridge lines located along the Blue Ridge Mountains to the east and the Appalachia Mountains to the west. It's tight and krpt me out of the ditch approaching a downhill car - both balls to the wall - with dry leaves in tow. Fortunately I road the rail on the right edge of a steep unguarded cliff. Adrenalin should be this cars middle name. Love it but got to sale it cuz of growing family and desire for tech audio smart upgrades. Dodge Durango SX. Go figure. Taurague is not my deal as it's much smaller for much more. American German dodge. Go figure.",,
3.75,Thousands spent for New transmission @ 79K,milkman128 ,06/08/2014,,,4,4,4,3,,4,4,3,4,"The fuel economy and quality of the drive train are the biggest downer for me.It has good pep to its step and handles incredibly well.Although with my Transmission failing so early I worry about the power train quality. It looks pretty inside and out, handles very well but doesn't appear to have the longevity dynamic.","Shifter lights, heated seats, heated mirrors, handling",better quality transmission/better fuel economy
5,Amazing car,lcs_miller ,04/05/2011,,,5,5,5,5,,5,5,5,5,i got this car a few days ago and its great! i bought it from carmax. It has 2 slight dents in it. Its jet black and is so amazing to drive. The fuel econmy is lower then most cars like the rabbit but its great!,,It would be nice if they made it have better fuel econmy. there are several motors likes the 2.5 ltr one that comes in the car
3.875,VW could have done better,Hudi ,10/23/2010,,,4,4,5,5,,3,3,4,3,"The exterior of this car is quite nice, following the the line of the Golf. The interior is very well designed and finished much better than other cars in the class. The car is much roomier than it seems, the legroom and headroom in the back is great. The seats are poorly designed without proper lumber support that's why I'm rating it low.  The ride is very nice, the suspension is just right. Thanks to the multilink suspension in the back, the car corners like no others. The engine is the biggest flaw of this car, it's not powerful enough but the gas millage is not that great. I wonder why they didn't install a better European engine with similar power but better fuel millage. ","nice look, very nice suspension and handling. Interior design is top of the class","VW should either install a more powerful or economical engine, the current one is a bad blend.  The stereo system is pretty bad as well."
5,Love it! So cute!,u2dan ,10/12/2010,,,5,5,5,5,,5,5,5,5,"I am over 6 feet 1 inches tall. Everyone laughed because I am so big in a small car, but there is a ton of room. I sat in the back seat and could easily move around and had leg room! The car is super fun to drive on the highway and great for weaving in and out of traffic. The ride is so smooth and SO quiet, i couldn't believe it. The pick up is great too, very powerful little car. I feel like I am driving around in a nightclub when I got some good music going on.",Everything.,"I guess MPG, but its a huge improvement from my older 2001 jetta. Almost 500 miles per tank is what I just recently got (all highway)."
2.25,Not suitable for short passengers,candle27 ,02/01/2010,,,1,3,5,1,,4,1,1,2,"I am 5'3 and too short to reach the headrest even in its lowest position. According to the User's Manual and a phone call to VW America's head office, a cushion must never be placed on the passenger seat as this interferes with the airbag system's proper functioning. This only becomes clear after the car has been purchased one has read the manual.Therefore I am at risk in case of an accident and VW says that neither they nor I can do anything about it.  ",,
5,Just about perfect!,Eric ,09/05/2009,,,5,5,5,5,,5,5,5,5,In my family we own an 09 Rabbit and 08 Mazda 3. They are truly both fantastic cars. Both are equipped pretty much the same and they both cost the same (just about 17K). My wife drives the Mazda and she loves it however I am a good size guy and I find the Rabbit's seat goes back further and has more thigh support (and overall room). The Mazda gets better gas mileage but the Rabbit has better acceleration so in my opinion the lower MPG is a fair trade. Both handle extremely well and are a lot of fun to drive however the Rabbit is a little more quiet overall. The Mazda has one of the nicest stearing wheels I have ever seen on any car.,Very comfortable seats and driving position. Excellent automatic transmission. Excellent handling. Every car should have heated seats! Everyone should have a small hatchback. So versatile!,Center console should be finished better. MPG display like last years model. The seatbelts are really hard to reach on two door model. Stearing wheel controls (but the VW stearing wheel is also cool in a simple way).
4.75,HOT Hare !!!,mf ,07/25/2009,,,5,5,5,4,,5,5,4,5,"Quick, even at a 6500ft Colorado altitude. Precise handling. Precise- shifting 5-speed gearbox. Typical excellent German craftsmanship -- inside and outside -- with obvious attention to detail. Roomy. Lots of features that are ""package upgrages"" on other brands. Airbags everywhere, traction/stability management, and other safety features. Good MPGs for the HP/torque. On top of all that, driving-thrill-for-the-investment can't be beaten.","Excellent acceleration. Quality build. Roomy, yet with a small exterior. Hatchback. Blue & red gauge lights. Red LEDs in the ceiling for soft lighting of the cabin at night. Chilled glove- box. Thick, easy-to-grip steering wheel. Momentary movement of the turn signal activates the blinker 3 flashes.","Some material other than cloth on the arm-rests. Better FM reception. More exterior color choices. ""Aux In"" needs more sensitivity to the input signal. Gas tank fillable from driver's side. "
4.875,2009 VW Rabbit with Manual Trans,HP ,07/03/2009,,,5,5,5,5,,5,5,4,5,"Quiet, competent, handles well, and is fun to drive.  Great quality, fit, and finish.","Competent handling, heated seats, fit and finish.","Six speed transmission.  On a hot day, windows can be lowered from outside the car by inserting the key and turning such.  This should be handled through the remote control key fob."
