rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Great Car,Gina Feinstein ,04/16/2016,4,4,5,,,4,4,5,5,,,,,
,,,,,,,,,,,,,,,,,
1,HUNK OF JUNK,Al Carl ,04/12/2016,,1,,,,,,1,3,,,"I purchased my 2009 Tiguan used in 2012 and it only had 20k miles on it.  Now I'm pushing 90k miles and sadly I still owe 6K.It all started in September when the timing chain mysteriously jumped, basically destroying the top end of the motor.  The VW dealership fixed all that for 5.3k.  I complained so loudly to VW of America they actually sent me a check for 2K because they know their car is a lemon.  Even the guys at my dealership in Topeka, Kansas are saying ""oh yes, these Tiguan engines have a lot of problems""  Thanks Captain Obvious!6 weeks after that disaster the transmission fluid cooler springs a leak, draining all the fluid, and destroying the transmission.  No dash lights came on!  That was another 25 hundred including a deal on a junk yard tranny and a hook up with a local mechanic, not the dealership.I tried to get VW of American to pony up some money to help with the transmission.  Their response:  ""We made one good will payment for the last problem, we won't be doing it again.""Now there's an oil leak.  Dave at VW & BMW of Topeka tells me that the crank case vent valve went bad causing the rear main seal to blow out spewing oil all over the undercarriage of the car and on any parking spot I use.  That's another 18hundred.  Not under warranty.  A terrible car.  A bad experience.  Never VW again.  Ever.",,
,,,,,,,,,,,,,,,,,
1,DO NOT BUY A TIGUAN!!MONEY PITS,whitney ,04/01/2016,1,3,3,,,1,1,3,3,,,"I purchased this car used a month ago and I wish I  did my homework before buying this car.We have owned it for little of a month and have put in $1100 for a seat belt sensor and now it is again at vw for breaking down on us for a time chain that broke that was fixed 10 months ago.Time Chains are very expensive and should last well over 100,000 miles on a car not 8,000 miles 10 months ago.I have owned many vw and this one is unbelievable.I will never again buy a vw very unhappy with vw of america and vw customer service.We have owned it for a month and have already put well over $4000 into it.",,
,,,,,,,,,,,,,,,,,
4,16 Months of Funs,Phil ,03/31/2016,4,4,3,,,4,,4,4,,,"I bought this car with just over 60,000 miles and it now has 75,000 miles on it, so I thought I would chime in here.   So far this has been a great car, and after about $1,000 in maintenance since I've owned it, it seems like it will be good to hit the 100,000 mark, like many of the other 2009 Tiguans for sale around Northern VA right now.   It's a really fun car to drive, and I keep my Acura TL in the driveway on most days now.   It has breezed through two state inspections.  We love the larger, optional sunroof.   It turns on a dime and is so much quieter than our 2012 Subaru Outback and my previous small SUV, a 2001 Mazda Tribute that the Tiguan replaced as our  ""3rd"" car.  The styling is somewhat timeless too -- when I got it in late 2014, my co-workers and neighbors thought it was a brand new car! The only real con is no bluetooth -- although it does have the phone icon on the steering wheel -- and it does have an aux in, so there's that.  I did have a pesky EPC light come on intermittently, which cost about $600 to fix, so that was the bulk of the expense over 16 months.  The local VW dealer has been good, even though I didn't buy the car there.",,
,,,,,,,,,,,,,,,,,
3,Be Cautious & Do your homework,Ms Shay ,03/08/2016,3,3,3,,,3,3,4,4,,,If you're interested in the Tiguan I strongly suggest you make sure the models are 2012 and above b/c anything later seems like the ball was dropped on mechanical issues and wasn't addressed until the reproduction of the later models i.e. rear main seal or coolant hose. Due to my consecutive visits majority of the dealership knows me by name and face,,
,,,,,,,,,,,,,,,,,
1,Some of these reviews are like looking in a mirror,Afiah A. ,11/06/2015,1,1,3,,,1,5,2,5,,,"If at all you are on the fence about this car, hope off the fence and go in another direction. Up until about 82,000 this car was great, some minor interior wear and tear, but I attributed that to having kids. Well in on year, I have replaced my lights four or more times, my intake manifold and pumps have been replaced, and my entire door latch system has been changed on the drives side door. In all, this year alone this car has cost me over 3000. I am floored. When I had a note on this car, I did not even spend that in total.  Every day I now get in the car and pray no dash lights come on, and the car just drives. Owning this car is pushing me to begin looking for another car, and definitely not another VW. I feel this car is made of glorified plastic. I see VW on the road from the late '80's and early '90's. I am so dismayed as to why my vehicle isn't hanging on. Had I been given just a glimpse into the future with this car, I would have chosen a Toyota or a Honda.",,
,,,,,,,,,,,,,,,,,
3,Great if you only want to lease it but don’t keep,mike z ,10/16/2015,1,1,4,,,,2,3,5,,,"I have a 2009 Tiguan. It was a great car until it hit 55,000 miles. First the Freon leaked out due to a faulty pressure switch. A few months later the check engine light came on indicating a cylinder misfire. Dealer said it was due to carbon on the valves and it needed an $800.00 service. Shortly after that the front crankcase seal went. Total for the 2 repairs $1423.11 for a car with 66,000 miles on it. From reading other comments on the internet this is a common occurrence for this vehicle.",,
,,,,,,,,,,,,,,,,,
1,I so wanted to love it...,ekdot9@gmail.com ,09/22/2015,1,5,5,,,1,5,4,5,,,"This car drives like a dream. It is the peppiest little car in its class; however, at 88,000 miles it is a money pit. I am so sad to get rid of this car. It is stylish and performs, but I have poured more than $4k into in in 3 years and I am now facing needing to replace the engine because there is no compression. There were no warnings- just kabam. I will NEVER buy another VW.",,
,,,,,,,,,,,,,,,,,
1,My best driving car ever... but I can't keep it,Daryl N. ,09/19/2015,2,3,4,,,1,4,5,4,,,"I love driving this car... I've even posted glowing reviews on Facebook about how great it drives on the open highway, on twisting roads, and in the city.   But, at 89,000 miles, I've spent more money on maintenance than I spent in 250,000 miles on my last car, a Toyota Camry.     Unfortunately, the tales of woe on Edmunds seem to be true....  replaced the intake manifold, replaced a door handle, had many lights burn out, replaced water pump, thermostat, and cooling fans.   And a few other things.    Check engine light is glowing about 20% of the time.     I'm very sad about needing to give up on this car, but I can't imagine the coming problems if I hold onto it.    It might work out OK for those who drive fewer miles but I need my car for some long distance trips.   Ultimately, reliability trumps performance.      VW really needs to deal with this.     I'll never buy another one.",,
,,,,,,,,,,,,,,,,,
1.875,Very disappointed!!,Josue Lopez ,03/02/2015,,,2,3,1,1,,3,2,1,2,"One of the worst Volkswagens I have ever driven. A car with less than 70k miles had to get a new engines, throttle issues, oil leak issue, and much more. I have never had any issue with other makers such as Toyota and Nissan. I highly do not recommend this vehicle or anything else from VW please do not purchase VW it so unreliable. ",,Focus on reliability and not the look. 
,,,,,,,,,,,,,,,,,
3.125,Lots of Problems...where do I start?,John Q Public ,02/24/2015,,,3,4,2,2,,3,4,3,4,"Bought the car as 2009 certified. It was great for about a month or so and then a coil went bad. OK, no biggie, $50 co-pay and i'm good to go. Next, the car starts to overheat when the AC is on. I bring it in, they can't find anything wrong, I drive it, it gets hot, I bring it back, etc. Eventually they replace one of the fans. Then the other fan. Then the water pump, then the radiator. OK, that seems to do it. But then, what is that moldy smell and why is there an inch of water on the floor boards? OMG, there is mold growing under all of the floor mats. Turns out the sunroof drain tubes had separated and the water poured into the cabin. Just waiting for the other show to drop now.",,
,,,,,,,,,,,,,,,,,
3.375,worry about quality,yanhua ,09/10/2014,,,4,4,3,3,,3,4,3,3,"Unfortunately, my 2009 Tiguan has big problems. At 36000miles, water pump was broken. At 40000 miles, oil is leaky. It cost me about $2000 to fix the problems. ",,
,,,,,,,,,,,,,,,,,
4.75,my first car,ariellerae ,08/08/2014,,,5,5,5,4,,4,5,5,5,"I am a first time car buyer and I really like this car.I bought a used 09 with 57k miles on it in December and now it has 73k.I heard stories of German cars having a lot of trouble after 60k miles but I haven't had any yet. Yes the brakes squeak a little but I'm used to that I drove a Land Rover Discovery in high school. My tiggy has leather seats, xm, and bluetooth. really all you need. it gets me where I need to go...I would say the most unfortunate thing is that it only takes 91 gas and I'm in CA it's super expensive. Other than that I plan to have this car for at least another 5 years until I can get my dream car the merc glk :)","the leather seats, the heated seats. the sunroof that covers the length of the roof, the turbo engine, the drive is very smooth and the cabin is quiet",allow it to take cheaper gas
,,,,,,,,,,,,,,,,,
2.25,Fuel injector issues/money pit,brokenvw ,01/13/2014,,,3,4,1,1,,2,3,1,3,16 fuel injectors..3 throttle bodies... Nonstop breakdowns.Google Tiguan fuel injectors and you will not buy.Dangerous erratic acceleration out pf the blue when it breaks.,Turbo,Fuel injectors that dont leak every 20000km
,,,,,,,,,,,,,,,,,
2.25,Stay far away,georgeste ,01/08/2014,,,4,4,1,1,,1,3,1,3,Love driving this car but...I'm the second owner since 63000km16 fuel injectors and 3 bad throttle bodies later I have decided that I'm done with constant breakdowns.For sale1 tiguan123000km,Power,"Fuel Injectors
Throttle body
"
,,,,,,,,,,,,,,,,,
3.625,At 70K what you could expect,nhvw2009 ,09/07/2013,,,4,4,2,3,,4,4,4,4,"I bought my Tiquan new in 2009. It ran well up to 60K. In the last 10K I need a front drive axel ($650), a new manifold / seals as sensor light is on and there is carbon buildup ($700), yesterday it needed a pressure switch for the AC ($340), and then a electronic ignition problem caused a plug to blow ($150). Not sure what to do at this point, trade or keep putting money into the car.There has not been a lot post by people who had the car for 3-4 years.","I do like the design, drive, comfort, handling.",
,,,,,,,,,,,,,,,,,
3.125,Un-Reliable after 50K miles!,negaverse ,01/11/2013,,,4,4,3,1,,3,4,2,4,"I bought the car brand new in 2009 and it was a great drive at first.The car was awesome for the first 2 years.I drove it about 20k miles a year.It was so comfy and fun to drive esp on long trips.But, after about 50k miles, I had so many problems!!Those dreaded EPC lights would always come on!I ended up taking a huge loss on the car with another 1.5 years to pay off but I had safety concerns with a car that would stop accelerating in the middle of the road.I have heard the myths bout VW electrical issues but did not believe them until I bought my own VW.Unfortunately they are true.","You can feel the power of the engine when accelerating.
Also felt the handling was above average.
The car simply looks great as well.


 ","The car had so many issues.
I wish VW would have worked out these issues before coming out with the N.A version of this car.
It just pales compared to other cars in reliability.

I will try to list them all to help others.
 a drive belt replacement 
 some leakage in hoses
 clean up of carbon buildup that I was advised to do for the car to run smoother.

 An electrical problem due to a short from the wiring with the throttle.

 replaced the car battery when the car died on me at a gas station
 A spark plug misfire problem due to oil leaking
 Intake Manifold replacement"
,,,,,,,,,,,,,,,,,
4.625,Better build than our BMW!,maltlover20 ,12/11/2012,,,4,5,5,5,,5,4,4,5,"Over 3 years now with our 2009 Canadian Highline model Tiguan, and we still love it. 48K kms and no problems. Took a road trip in June through the Rocky mountains and got awesome fuel economy! Winter driving we swap out our 18inch rims for 16inch aluminum ones with Gislavid winter tires (from Finland) and can plow through snow that the bottom of the chassis is dragging on. It takes 5 days after a major snowfall before the County plows our road, and we have alread had one dump of 35 centimetres and last week another 25cm. ","Quiet ride and great handling. Heated leather seats and mirrors. Sirius radio when in the mountains. No nav system, we have the 6 pack CD instead and a Tomtom! Adaptive Bi-Zenon headlights that turn with the steering when on high beam. Love the manual shifting on the transmission when we negotiating steep back roads in the mountains, being able to gear down save wear on the brakes.",
,,,,,,,,,,,,,,,,,
4.625,Love my Little Tiggi,cpalafox ,05/30/2012,,,4,5,5,5,,5,5,4,4,"I bought this car with 20k miles, and have put 10k in the 2 months I've had it.And i'm happy to report that I have not had any issues with it.Only problem I have is the squeeky/grinding of the brakes. or rattling when I suddenly step on them. It came with a navigation system that was installed by the first owner and it irritates me.radio wont come on when I want, cant hook up my ipod or hear music from my phone on pandora. And the fact that the radio shuts down and tells me ""I am going over the speed limit kills me!! But overall I'm happy with it..","I love my car, just the right size for me and my 2 growing boys..","brakes??
what's up with the grinding of brand new brakes??/ even after dealer said everything is according to Manufactory"
,,,,,,,,,,,,,,,,,
3.25,So Many Problems!!!!,cap723 ,04/19/2012,,,4,4,3,2,,4,4,1,4,"I am just ending my 4 year lease and I have had so many issues with this car that have added up.Although the look of the car is very nice and it's fun to drive and I never had any major mechanical problems - I still had issue after issue with this car.A few weeks after I drove it off the lot the guage that showed how much gas I had in my tank was broken.I had to take it back twice for them to fix it.Since then my radio just goes off when it wants, the back-up camera stopped working, I had to get new tires and breaks, there is a horrible moisture problem and it always smells like mold, the AC doesn't come out cold .it goes on!I would stay away from this car ulnless you want a heacache",,
,,,,,,,,,,,,,,,,,
3.5,grinding brakes,lufferman ,10/22/2011,,,4,4,3,2,,4,4,3,4,At 40k the rear brakes are shot. The care has always braked well. Front brakes are still good. Only clue was grinding metal to metal. The inside brake pad (the one actuated by the caliper's piston) is totally worn down. The outside pad is still very good. It's either poorly designed or the servo actuated emergency brake might be the cause. We have never noticed any brake drag.,,
,,,,,,,,,,,,,,,,,
2.875,Lots of issues,bkhal ,10/06/2011,,,3,5,1,3,,3,3,1,4,I leased the 2009 Tiguan and after doing that I will never buy another VW again.Within the first 6 months one of the door handles came off in my hand.I had it put back on but it would fall off every few months.I also had severe leakage problems with my sunroof and had the interior ceiling reupholstered- twice.This car has serious moisture problems and the windows are completely fogged up every day.I need to keep a towel in my car to wipe down the window everytime I need to drive somewhere.The mildew smell is awful and there is growing in the car.I'm grossed out by the car & can't wait to get rid of it.It's ashame b/c it's adorable and drives well- just has too many issues. ,"Back seats slide front and back.
Heated seats.","VW needs to fix the moisture issue.
This is a health risk."
,,,,,,,,,,,,,,,,,
4.625,Jury still out,msul ,10/05/2011,,,5,5,5,2,,5,5,5,5,"I love (d) this car until it stranded me on a highway in France for no reason at all.15,000 miles on the car and after driving 900 miles in two days it just stopped on a bridge 10 minutes from our destination.Now, the French VW dealership has had my car for 3 days and has no idea what the issue is. Who knows what the outcome will be, but service from VW is definitely lacking.Doesn't help that the French work 9-5 with a two hour break in the middle of the day either.Now I have spent most of my vacation on the phone trying to get this resolved before Friday comes since they don't work on weekends.",,
,,,,,,,,,,,,,,,,,
2.75,I will not get another VW again - ,jaypc6711 ,07/06/2011,,,3,4,2,1,,3,3,2,4,"As a prior VW fan (4 times) ..It was with great regret I had to report back to Edmunds how shoddy I thought the Tiguan 2009 model was. I see we're well into the 2011 timeframe now and newer versions are out, however, problems still persist. Sure, the service teams get it taken care of and paperwork is smoothed over.Driving it out of the dealership on Day 1 was pure bliss, but one seriously short-lived. The issue is with engine / instrumentation and vehicle performance. I had multiple Electronic Power Steering and Engine checklights appear during the past 2 years recently towed back by VW. I would be hard-pressed to get another VW",The shape of the car is intriguing and attractive to the eye. It packs a lot of power and sporty...I can see why its easy to market this car. ,"The rear window soap dispenser /window washer ends up running a soap streak down the car once used. You end up having to wipe it down to avoid noticing that slight design flaw....have not had this on my other VW models I've owned.

"
,,,,,,,,,,,,,,,,,
2,DO NOT BUY - LEMON,dontbuytiguan ,06/03/2011,,,2,2,1,1,,4,4,1,1,This car is the biggest lemon i have ever purchased at 44000 miles i have had to spend over 2000 dollars in non warranty computer repairs on the car is still not fixed correctly. I am giving the car back early cause i am afraid of how much more this car will cost me if i keep it the last 8 months of my lease. I would rather give the car back and pay off the eat the rest of the lease. Do not buy,DO NOT BUY,LEMON
,,,,,,,,,,,,,,,,,
5,Best Vehicle I have owned,cpogordon ,05/06/2011,,,5,5,5,5,,5,5,5,5,"I have owned my Tiguan since October 2008 and have never had a problem.The 2.0 Turbo engine is fantastic and gives you the acceleration you need when you push down on the gas pedal.The transmission is smooth and both the interior and exterior are built with quality materials.This is the best vehicle I have owned in my over 30 years of driving.In addition, I was T-boned by a driver who ran a Red light doing 30  40 mph who crash strait into my drivers door and walked away without a scratch due to the safety features and quality build of the Tiguan.As to people who complain about pulsating brakes during hard braking  thats call Antilock brakes.Also, if you have a sunroof you need to close it when it rains.That will cut down on your mold problems.","2.0 Turbo
Transmission",Leatherette seats on S models.
,,,,,,,,,,,,,,,,,
4.125,Lots of issues with the tiguan,lbrosco ,04/03/2011,,,5,5,5,3,,3,5,3,4,"First I want to start out by saying I am glad I found this site, because after reading most of the posts on here I realize I am not alone. Normally I don't post to sites like this but if this stuff helps somebody else going through what I am going through then it's worth it. I bought my car in Arizona in november of 2009 so I have owned it for 1 yr 4 1/2 mths. I will list the problems I have incurred so far. By the way I now live in northern California and I have apprx 30,000 miles.Satellite radio always says linkingBack up camera gets stuckDrivers side cornering light went outBrakes jerk when stopping abruptly even at slower speedEmergency brake sticksBurns out cell phone chargers- gone through 5 oemSensor had to be replaced.Mold inside my car! For the past few months we have been getting a lot of rain in northern California. I have noticed a lot of moisture on the inside of my car, mainly on the windows. I have to dry it every morning with a towel. It would be too much for a defroster to handle. I didn't think anything of it other than it being a pain in the butt. This morning I noticed mold growing underneath all 4 of my floor mats. I removed them from my car and wiped down the carpets with resolve carpet cleaner. I wasn't able to get it all because it is growing under the seats as well. This is a huge problem for me because I am allergic to mold. I have broken out in hives and didn't realize that was the cause. ","Cornering lights
Sunroof
Design",Fixing the known issues
,,,,,,,,,,,,,,,,,
3.875,Vehicle Rollover Safety,Tiguan Rollover ,11/01/2010,,,4,5,5,5,,3,3,3,3,"Just FYI: Purchased this vehicle for my wife; last week she was side-swiped by a taxi. Car rolled over on one side (driver's side), then righted itself and landed on top of a third vehicle with 2 wheels in the air. The build on the vehicle saved her life; without the driver's side airbags, my wife would be gone!!! Insurance is replacing the vehicle, and I'm getting her a Tiguan again. Thank goodness for VW!!! ",Driver's Side Airbags! ,
,,,,,,,,,,,,,,,,,
2.5,POOR PERFORMANCE ENGINE,N H ,10/22/2010,,,3,3,3,1,,1,1,4,4,"From the start witht he purchase of this vehicle I have had nothing but issues.  First the dealship messed up the paperwork and we were called back in at least 3 times. NOW after a year old the engine just stopped on the PA turnpike, stranded me there for 3 days. The dealer said that the fuel injector ALREADY needs to be replaced!  VW left us out there with no help!  They said because I was over my warranty by a 1000 miles.  Nice 1st time I have ever bought a VW and will be the last!  MY GM car's never gave me issues like this in such a new car. Oh and CD's get caught in the CD player, it grinds,  but maintenance said it's ok!!",size,"ENGINE, front seat squeeks, CD player."
,,,,,,,,,,,,,,,,,
2.875,Fuel Injectors ,Tiguan  ,10/20/2010,,,3,3,3,3,,1,3,3,4,"I bought this car, needing a small SUV for work and had a lot of problems. Since January, its been in the dealership 6 times with fuel injector problems....all under warranty but its getting really frustrating. The last time it was in the dealership, all the fuel injectors were completely replaced and we were hoping that the problem would be solved. Earlier this week- it was the same, driving and the check engine light comes on, then it shakes and acts like its choking, then it dies and gets towed into the dealership. ",,
,,,,,,,,,,,,,,,,,
4.875,"Tiguan Review at over 48,000 miles",Butch ,08/09/2010,,,5,5,5,5,,5,5,4,5,"We have had this car for over two years and have driven it over 48,000 miles and have had only one problem. The right front head light assembly. The mechanic wrote it up as a problem of the internal mechanical malfunction of the headlight assembly. Other than that our Tiguan has been a pleasure to own and drive. ",Ride and comfort when driving long distances.,Diesel engine would be a very nice option in this vehicle. I have owned a number of VW diesels and I don't think you can beat them.
,,,,,,,,,,,,,,,,,
3.5,They Leak - Severe Mold/Mildew Issues,John Gillis ,08/03/2010,,,3,5,1,1,,5,5,3,5,"OK, the Tiguan is a beautiful vehicle.   Performance, handling and finish are best in class.  However I have had a serious problem develop in mine, that is related to poor build quality.  Mine leaks.  Water was entering through back doors and seemingly the front fire wall. This precipitated and extremely bad mildew infestation and the car become undrivable.   It is currently with the dealer, after 4 weeks, and they still cannot get rid of the mildew odor.   Carpet, underlay, cushions, the works has been infected with this smell (spores).  So if you are buying this car be very careful.  Car has not been fixed.  I have requested it be replaced as it is a very serious health issue.",Drive Quality,"Fix the obvious leak problems, or fabrication problems that resulted in said leaks.  "
,,,,,,,,,,,,,,,,,
5,Tiguan tiger and iguana for real,daniel  ,08/02/2010,,,5,5,5,5,,5,5,5,5,The tiger represents the speed of this car. Iguana for the luxury and smoothness. Amazing car. I think this is the best car I have ever owned I can't even tell you how much this car has impressed me,,
,,,,,,,,,,,,,,,,,
5,Very good car,george ,07/29/2010,,,5,5,5,5,,5,5,5,5,I bought this car skeptical but this car has really proved its self to me and my wife. Every day at least 50 miles a day this car is a work horse this car is amazingly fun to drive I have bought other SUV in my lifetime and never one like this. I thought it would have many electrical problems but none I would highly recommend this car to anyone that has a family or one thats going to last.,heated seats and panoramic sunroof,none
,,,,,,,,,,,,,,,,,
4.5,What's up with the brakes?,Second Thoughts ,06/29/2010,,,4,5,5,4,,5,4,4,5,"I owned my car for 3 months and the brakes started squeaking. Took it to dealer who says brakes had a little dust and they clean them. One month later same and worse. Rain, early morning worst, but sunshine too.  I'm simply embarrassed that I drive a new car with less than 10,000 miles that screams like it needs a serious brake job, that's dust? Never had any stopping problems and love the car otherwise. More later when dealer looks at the car again. Not too happy right now.",Quick and sassy! I loved my obnoxious Durango for its 8c acceleration--love this passing and maneuverability.,"Please. regular gas model. Also, the radio is a blah, so, so throw-back. How about a little upgrade without the $800.00 expense?"
,,,,,,,,,,,,,,,,,
4.375,Fun to Drive,VW in Colorado ,05/13/2010,,,3,5,5,4,,5,4,4,5,"On the day of the 2nd anniversary of buying this car I turned over 72,000 miles - so we have had a lot of experience with this car. This car is fun to drive and the sunroof is great! The Tiguan displays a lot of info on the dash and every month there is something that needs to be serviced or looked at. If you take the car to anyone other than the dealership then the warning light will not be reset. You will still have to go to the dealership or it will bing at you every time you start the car and the warning light will be on. Most of the bells and warning lights are annoying and not major defects. Due to the constant high maintenance on this car - I will not purchase another VW. ","Sunroof, gas mileage",Parking brake is next to cup holder - spilled soda corroded wiring. Passenger seat and headrest is not comfortable after 1 hour drive. Warning lights do not reset themselves so a simple low tire pressure light has to be taken to dealership to be turned off.
,,,,,,,,,,,,,,,,,
5,On the Mark,dman ,03/06/2010,,,5,5,5,5,,5,5,5,5,We owned a 2008 Toure for 1.5 years and we love the Tiguan even more ... here are the reasons:  1) Practicality - smaller but not to small to hold 5 adults and luggage! Great gas mileage for SUV  2) Free 3 year maintenance program  3) Overall fun to drive and cost of ownership,"Panoramic sunroof and fun to drive, styling and gas mileage",none
,,,,,,,,,,,,,,,,,
