1,Try a Mercedes before buying this.,Neville ,03/13/2016,1,3,3,,,1,3,3,4,,,"This is the worst car I have ever bought. I only have 56k miles on it, and have had many electrical issues, some of which have made the car unusable. The dealer service is expensive and incompetent. The car itself, when it works, is pleasant enough, but is totally unreliable. No wonder GM went broke making rubbish like this.Update: my local independent mechanic has repaired most of the electrical issues, and apart from minor issues which appear and then apparently fix themselves, the car is now relatively reliable.",,
4.875,My first Cadillac,powerline87 ,08/06/2012,,,5,5,5,5,,5,5,4,5,"This is my first Cadillac and my first car that was over $1000.Value: I got my car 3-4 years old, because the price drops by $20-25k by then.Performance: 302hp 3.6L DI V6.52/48 weight dist. AWD. Dual-Wishbone front suspension - It handles better than most smaller cars I've driven, and even handles about as well as the CTS, despite being bigger and more comfortable.Comfort:I have driven a Lincoln MKZ, a Cadillac CTS and SRX, and a Lexus ES 350, and the STS is the most comfortable out of all of them.It is roomier and its seats just feel more comfortable.Summary: A used 2008-2011 Cadillac STS has a better balance between luxury and performance than any other car in my price range.","-Key-less Entry/Remote Start.

-The luxury of being able to quickly match the speed of traffic while pulling onto a highway from an on-ramp.

- All Wheel Drive.
It handles well and is easy to drive in rain and snow.
Make sure you buy good all-season tires, as they're the only part of the car that touches the road.

- Touchscreen Navigation screen.
6-CD changer on the dashboard.

- Traction control easy to turn on/off quickly.

- 15 Speaker Bose Surround sound - sounds like the band playing the music is in the car with me (from XM satellite and CD's, not necessarily FM radio).

- Heated and Cooled front seats (real leather gets warm).
Heated rear seats.
Heated steering wheel.","I wish it had the hard drive for its radio, like the CTS does. I am 

I usually have traction control OFF when it is nice weather outside, because it comes on too much to be helpful in summer.
In winter or during rainstorms it is helpful, but not when it's nice weather, in my experience.
Everyone has their own preferences, though.

It's a little expensive to fix/maintain.
I bought mine Certified Used, so some things are still under warranty, but this car costs over twice as much to fix as many other GM cars, due to high tech/luxury features. 

Cadillac got rid of the STS in 2011.
I hope they realize that their best car was the STS and make a new flagship performance luxury car soon."
4.75,Bose Stereo Issue Debugged,cfazzari ,06/04/2011,,,4,5,5,5,,5,5,5,4,"In an earlier review I wrote the Bose system was basically terrible. The lows had no THUMP the Mids were Watery and the highs were muted. Apparently There are five different listener settings: Centerpoint, Driver, Talk, Normal and Rear. Centerpoint is the setting to use. The other four settings make the system sound awful at high volumes. Centerpoint wakes up the entire system and is easily comparable to the Boston Acoustic sytem I just came out of from my SRT8 Charger. ",,
5,I fall in love everyday,KRSTS ,06/20/2010,,,5,5,5,5,,5,5,5,5,"I have owned this STS for 27 months and I love it more everyday.It was a GM owned CPO with only 8200 miles.This is my third Cadillac.My others were all V8s and I do not miss the V8 at all.The V6DI is great engine, not only for the power but the fuel mileage.The car is very comfortable on long trips and handles like a dream.There were a few minor issues early that were promptly fixed by the dealer. Now I only take it in for an annual oil change and inspection. Best car I have ever owned in my 67 years.","Styling, handling, power, comfort, features like remote start, keyless entry and start, auto locking, easy of entry and exit, wide trunk opening.","Larger glove box, more usable pouches in the doors."
4.75,"1st Cadillac, Great Car",Matt ,03/10/2010,,,4,5,5,5,,5,5,4,5,"This was my 1st Cadillac. I purchased it new in Dec 09.  It was on the dealer lot of 1.5 years and I got a great deal.  After reading all of the reviews, was worried about build quality and reliability.  I have been very happily surprised.  Ride quaility is #1, handling and V8 performance are great.  I am in my mid 40's and looked at Lexus, Infiniti, MB.  The caddy, for the price, exceeded those other car makers.  My younger friends have all been impressed with this car and are looking a Cadillac instead of a BMW or lexus.  I hope that GM will continue to improve the model.  At this writing, I don't think I will purchase anything but a Cadillac again.  I have been very satisfied.","Heated Steering Wheel, Ride and Handling, V8 performance.  Comfort of front seats.  It is a great touring car. Bose system is great and exterior lighting really helps on dark winter nights. On star and Cadillac road service (I had a flat (nail) the 1st week, they came in 30 min and changed the tire)","My biggest complaint has to be interior storage.  The glove box is small and side door pockets are shallow.  Center console with nav has no storage and center bin cosole is deep, but not large.  No sunglass holder in center stack above the mirror. Finally, instruction video instead of the owner man. "
5,Very Happy,richcory ,10/29/2009,,,5,5,5,5,,5,5,5,5,"Wife and I bought our 08 STS V8 in March of this year and it had 13000 miles on it.  We like it so much that we have driven to to Vegas, Denver and Ohio from our home in Oklahoma.  Wife drives it every day to work and another 13000 miles later we couldn't be happier with our purchase.  On the trip to Vegas and back we averaged 30 MPG with 4 adults and trunk full of luggage.  Sound system is the best of any factory system available.  Nav is good but could be more user friendly.  Interior storage space could be improved upon and the glove box is a joke.  Overall a great car with lots of performace and fun to drive.  It's performace isn't that far off from my 94 Vette.","Remote start, 5.1 Bose Surround, V8 power and fuel economy, 6-spd auto",interior space and a more user friendly nav system
4.75,Finally GM Got it right...For Now,Old Red ,06/28/2009,,,5,5,5,5,,4,5,4,5,"I purchased two new GM vehicles in 2008, a Cadillac STS AWD and a Silverado 1500 LTZ 4WD. The quality of workmanship was the best I've ever seen in my 53 years of owning and driving all kinds of cars. 0 defects, good fitment, quality throughout. As good over better than any foreign car or truck I've ever been exposed to. Thinks I, ""They've finally got it right"".  ","""Feel"", Quality of Manufacture, No defects. Ride, handling. This is one of the best automobiles manufactured. For it's price, none are better. ",
4,Lemonade,LarryG ,01/16/2009,,,4,4,3,2,,5,5,4,5,"Leased my 2008 STS in late December, 2007. Failed camshaft sensor, failed right side cam at 13,000 miles, deffective FOB's, 5-burned out lights, deffective driver's seat lumbar system. Dealer is great but car spends too much time in service bay.  Will not lease or buy another GM product. Totaly fed up.","Performance, heated and cooled seats, heated steering wheel.",Fix the reliability problems if Caddy wants to stay in the game.
4.875,Bad Paint,Herb ,12/07/2008,,,5,5,5,5,,5,5,4,5,"Love it, except the paint. The car is black, and I had it waxed immediately, by a professional. The first time I cleaned it myself, I discovered many pock marks on the hood and rear deck. They are in the paint, and wax does not remove them. I am taking it into the dealer to check. The paint is defective, and I hope someone will back it up.","Navigation, radio.",
4.875,Solid player,jeff sunshine ,11/11/2008,,,5,5,5,5,,5,5,5,4,"I purchased mine at the end of August when there were only V6 AWD models. I traded my V8 STS and thought I would be taking a step down. With V6 DI engine, I really do not miss the V8. So far this car is solid in all respects; handles well,comfortable, reliable, good mileage and is fast enough. In my opinion, this car favorably competes with BMW, MB and the other usual suspects but after you negotiate your final price, there really is no comparison becuse you pay a lot less. The status of a label is unimportant to me (although a Caddy still has some clout left) and as car enthusiast, I look to the raw driving experience. STS is right there and if the V8 G8 had AWD, I would be driving that.","Acceleration vs mileage ( I get 30mpg at steady 70 mph), supportive seats, driving dynamics","One thing, AWD cars should be made available with with sport suspension and 18 or 19 inch wheels. "
