5,"Quality, Reliability and Comfort",Michael H. ,09/27/2016,5,5,5,,,5,5,5,4,,,"I bought this car the day after it arrived in Sacramento. 8 yrs later, the only problem was a sun visor. 71,000 miles without a hitch. Driven short distances in town and long trips to Louisiana. Air conditioning has never been touched and works great today. Leather interior is still great. Never a problem with belts or handles and the exterior paint(Champagne) is still shining as the day I bought it. Acceleration has improved with age. The sun roof works perfect as does the cruise control, lights, radio, cd changer, and Sirius radio. I recently put new Bridgestone Potenzas and brake pads. The tires I had removed showed absolutely no suspension or alignment problems. The rotors did not need attention either. Nothing on the car has given any problem except the one sun visor I replaced for 36 bucks. The remote trunk release, the steering wheel controls an the remote fobs all continue to work flawlessly. This has been a value that I will not part with as I intend to buy another Hyundai soon to replace my Van.",,
5,2008 Hyundai Sonata SE V6 - 3.3L,Bob Rubel ,12/05/2015,5,5,5,,,5,4,5,4,,,"I bought this car brand new in 2008 from the dealer. I have a 10 year - 100k Warranty. I see people saying seat belts, door handles etc. are falling off. Have never had any of this happen. I'm 6'2"" and have no discomfort. The car is quick as hell, she'll jump up to 100-120 easily. The car is about 8 years old now and I have only done basic maintenance and put tires and new headlights in due to the wax formation. Everything works. Sound system sounds great, and I love that the unit holds 6 cd's. If I could buy this car again when I need a new car I would. Drove to north Carolina, Flordia (separate trip), tenesee (separate trip) and would NOT be afraid to drive to California from rhode island. The car has 161,000 miles on it so I expect problems soon due to use and age. I do not see poor quality in material. I love the car and think that door handles falling off in one guys review is total B.S.",,
1,Terrible buy,DILLAN ,09/30/2015,1,1,4,,,1,1,1,4,,,"The warranty given by Hyundai doesn't guarantee the motor 100,000 miles unless your original owner. My engine blew even after regular maintenance. The recent recall of the 2011 and 2012 model confirms my suspicion that they wont recall them because its only affecting a certain region. The mechanics know that vehicles are defected as well.",,
5,Good Value for the money.,Lou ,07/25/2015,5,4,4,,,5,4,5,4,,,"Bought my car used in 2009 with 9,000 miles, was a little concerned that it was traded in so quick but with the remainder of warranty left 4+ years and 50K bumper to bumper it was worth the gamble considering some new cars only give you 36K and 3 years.Initially bought car for wife for local driving, during the last 6 years the car has been virtually repair free, only used warranty to replace driver visor and no other issues. I have the V6 and when getting into the FWY's no issues plenty of zip and easy handling, just made a cross country run of 2,900+ miles and it ran better than expected, really didn't check mileage but it was probably around 30+MPG. I am 6'1"" and around 230LBS considering it's size I felt I had adequate room driving 6+ hours a day.Getting ready to sell and it's almost worth half of what I paid and have 89K, overall I'd have to say it's a 4+ and a 5 for value.",,
1.375,WORST HYUNDAI don't waist your money,consummer ,07/10/2014,,,1,1,1,1,,2,3,1,1,"Slowly but surely, every bit of this car has broken, peeled, snapped or shattered from the day I drove it off the lot. Now I have only 1 outside door handle left and can't even get in my car. Yup... went to open the door when on my way to the doctors, and the handle just shattered (cheap plastic), and that's the 3rd one in a week. Paint is lifting or chipping, Brakes went out after 20K miles and not covered by warranty, Micheline Tires had to be changed after 30K (unheard off) also not covered, rearview mirrors have fallen twice, Inside door-handles just fell off, Sun visors snapped (both) and fell on my lap as I was driving (very dangerous) seat belts snap off...","When driving it it smells like exhaust inside the car and you literary have to stop and get out to take a breath, and it's been recalled (all of them) over 6 times. Radio and CD stopped working properly after 2 months.","While still under warranty HONOR it
Record consumers complaints on paper and do not ignore them"
4.75,Best car I've owned.,sdemaris ,02/24/2014,,,5,4,4,5,,5,5,5,5,"I bought this car used with 34,000 miles back in 2009.It has been nothing but solid for me for over 4 years of driving it.The maintenance I had was minimal.The alternator went out on me last summer which was 500 bucks to fix but I was told by the mechanic that this is a typical problem with newer cars when they get close to 100,000 miles.Other than that I've had no other problems with it other than typical maintenance.I'm currently at 90,000 miles on it and plan on keeping it for a few more years.The paint quality is not the best on the outside but all in all still rides like a dream on the highway.Fun car to drive too.","Easy to handle.
Great sound system and 6 CD changer.
Fun to drive.
Great car for the price.",The exterior paint seems to chip away easy.
4.625,So thankful,uraveragemom ,06/10/2013,,,3,5,5,5,,4,5,5,5,"To put it simply, this car saved my son and my life. We were hit oncoming on the passenger side. Had this car not have been made with such durable materials and just all around a well crafted car, I don't even want to think about what might had happen. We both came out unscathed. Before this had happened, I loved my car. It was the first one I'd ever bought and I couldn't have been more happy with my purchase. It was roomy, the sound system was awesome. I bought it with 78,000 miles. Only replaced back brakes. The only thing I didn't like was the gas mileage but that's expected with a V6.","Room, size, interior design, reliability, smooth ride",CD player got jammed a lot
3.25,Warrenty about up and car falling apart,spencer_sc ,08/24/2012,,,3,4,2,2,,4,4,3,4,I really liked my car at first. It is coming up on 5 years old (warrenty about up) and has been to the dealer 3 times in the last 5 months. Twice for check engine lights and once for ignition problem. Twice I could not get the car to start. I thought I got a good deal but I am a little worried I will be spending a lot of money to fix soon. I would stay away from Hyundai and spend a little more to get a quality car. ,Not a bad 4 cyl. engine. Plenty of get up and go and pretty good on gas. Smooth ride and very confortable on trips.,The engine needs to be more reliable so I don't have to keep taking to the dealer. 
5,great family car,revpsyko ,08/10/2012,,,5,5,5,5,,5,5,5,5,"traded in our 04 neon which was a great little car, for the 08 sonata, we needed a bigger car for our growing family.Great gas mileage, great features, smooth ride, the ECS is nice, electronic brake-force distribution, and an attractive price, just couldn't really couldn't ask for a better car. plus being IIHS safety pick for 07 and 08 really put us at ease when we signed those papers.",,
4.625,I love this car!!,maxipkat ,07/15/2012,,,4,5,4,5,,5,4,5,5,"I bought this car as a service loaner back in 2008, and it has given me no mechanical issues whatsoever. I now have 91K miles and it still runs great. I gave the build quality a little lower because the paint does chip pretty easy and the sun visors have broken, however I really love this car! ","Powerful V6 Engine, Auto Dimming Mirror, Sun Roof, Sport Package, Roomy, Great Trunk Space, Heated Mirrors, Very quiet inside and out, my father in law didn't realize the car was running when he got into it the first time. Handling is phenomenal!! We were driving home when Hurricane Irene hit last year and a tree fell into the road. I was able to easily and safely avoid the tree even while driving at highway speed in a downpour! Did I mention I love this car???","Better Traction Control in the Snow, it just slides around in more than an inch or two. (Better tires would obviously help with that, too) Few more layers of clear coat wouldn't hurt (When a stone chips the paint, it goes down to the primer)"
