1,Pass Lock Engages,Chevy H8r ,05/30/2016,1,1,2,,,1,3,1,2,,,"The First time this happened My key Broke in the ignition. after a week the PassLock system engaged. I towed my car to Huntington Chevrolet because I was Only allowed 25 miles or so. They Charged me $750 to replace the Lock Cylinder and my remote start didn't work anymore. they said they didn't cover the remote start and Robert Chevrolet was responsible for that only if they put it in. in which they did. yet they still weren't responsible that Huntington was because they played with the ignition. that was last year. now my car is Locked Out and I can't start it once again. have no Idea how to start it. i'm probably going to have to tow it to a dealer so they can reset it. and figure out how to by pass the pass lock wich voids warrantee but I won't have to pay the dealer a couple hundred every year to reset the lock system. I get 14mpg. constantly carrying tools so its sluggish going up hill. electric mirrors, blue tooth and all my electronics either don't work or don't function properly all the time. and the AC only takes in outside air. so if I'm behind a school bus in the rain. and need the defroster on my car smells like diesel exhaust and I have a baby in the car and I have to go through a dirty wheel well to change the blinker from under the car. it because of this car that I HATE CHEVY.",,
1,STEER CLEAR OF THIS VEHICLE!,Chevy Junk! ,05/12/2016,1,1,2,,,1,2,2,1,,,"At first, I LOVED this car. Smooth ride, lots of room, pretty decent gas mileage. Four years later, all radio speakers, except the small one in the dash, stopped working, unless the outside temperature was at least 85 degrees. After calling Heritage Chevrolet in Chester, Va 3 times to get an appointment, I was told there was a short in the speakers. This affected the On-Star, back up alarm, and turn signal volumes. Heritage said to replace the radio, it would cost $750!!!! No radio is worth all that.  Maybe when the radio catches fire, Chevy will do something about it!  So I lived with no radio 9 months out of the year. Now, after the warranty expires by 8 months, but much less than 100,000 miles, a plate in the transmission breaks causing the car not to change gears. Repair costs....$4500!!!!! Again, Chevrolet will not help with the repair costs. Never again will I buy a Chevrolet product. Poorly made parts only last a few years. I have bought 2 cars from Heritage, one of which we paid cash for, but never again. They do not stand behind their product because they know it is JUNK! And adding insult to injury, my independent mechanic tells me that the power steering will need to be replaced very soon. JUNK, JUNK, JUNK!!!!!!!",,
2,2009 chevy traverse,mimi29 ,03/25/2016,,,,,,,,,,,,"had the car for 2 yrs at first i loved it ran great until i reached 57,000 miles and now i need a new engine. i went to chevy to have them fix it and they wouldn't because my warranty ran out 3 days before it happened. i was in the drive thru buying food and it kept smoking and wouldnt drive. i tried to break and nothing worked including steering with kids in the car its going to cost $5,000 to fix. im highly upset about this vehicle had a jeep Cherokee before this and it lasted 9 yrs never had a big problem.",,
1,POS,Ruby Break ,03/09/2016,1,1,2,,,1,1,1,2,,,"Absolute worst car ever.  Ever.  Replaced transmission at 90,000 miles.  Now at 110,000 it needs new belts for $2500.  They need to take the engine out.  Valves shot.  GM should never be allowed to sell another vehicle again.  DO NOT EVER BUY ANOTHER GM UNTIL THEY FIGURE OUT HOW TO MAKE A CAR.  Worst value ever.  Horrible company; horrible car.",,
3,check engine light,john ,03/02/2016,2,1,3,,,1,3,1,4,,,"purchased  the 2009 traverse two weeks ago second day the check engine light came on , the code reads pt 301 #1 cylinder miss fire . so now its at the dealers and after two days they still can't find the problem, we are sick because now we have no car",,
5,Driving Machine.,Susan Grace Rice. ,01/21/2016,5,5,5,,,5,5,5,5,,,"its a great vehicle, runs very good, rides smooth, and an all around great vehicle to have. with dogs, kids and just all around family its a great car to travel and go places and it holds a good amount of people, if i had to get a new one i would get another traverse,lt1. with leather this time for inside seats, and heated ones, would like to have a navigation in it, and side view mirrors with navigation on the mirrors for helping you stay in the lanes,[non-permissible content removed] .",,
2,Transmission Failed!,Amin Khan ,09/18/2015,1,2,3,,,2,3,1,3,,,"Be aware and stay away. A quick internet search will tell the whole story. My transmission is shot, broken,kaput!Constant water leaks, Squeky steeringDead battery, no explanationpassenger seat belt light comes on without warningDrinks gas",,
3,SO DISAPPOINTED,Denean ,09/16/2015,2,3,3,,,1,3,2,3,,,Got my 2009 Chevy Traverse from Rick Hendricks in January 2015 Transmission wasn't working properly so I went to Rick Hendricks mechanic shop in Feb. They said there was nothing wrong with the transmission. Months later in May they had to fix it because the transmission went out. Now a month later the transmission is slipping again. I have powertrain warranty that will cost me $150 but I shouldn't have to pay anything.,,
3.25,"Serves our purpose well, but... transmission repair at 117k miles... really?",asianteacher ,12/28/2014,,,3,5,2,1,,5,3,3,4,"I am displeased.  Our Traverse has been a vehicle that we brought to the dealership most because of recalls, back jobs, and now a shot transmission at just 117k (min $1,500, max 3k+ repair cost)?  Our other cars certainly did better!  I usually don't complain but we are not happy. I found out that this transmission problem is a common issue, I don't understand why it isn't a recall!

We bought this because Americans help Americans especially in GM's dark times.  But now we realized, who's going to help us now?  We don't have the budget for this now, so our Traverse is sitting in the garage.

If you insist in getting this, get an extended warranty.","It is huge.  Fits everything that a family of four + some more needs on outings and lots more for shopping.

Fuel economy.","Since middle seating spaces in 2nd row is narrow, the middle buckle is in the way of your bottom when you sit.  It will definitely hurt your bottom.

Needs improvement on reliability.  I brought this car to the dealership for different reasons such as interiors (carpet clips always breaking off), interior controls (drivers side window control stopped working but fixed and now the passenger side stopped working).  The steering squeaks, Chevy dealership never found the problem and now I am out of warranty, I am sure they wouldn't care.  Now, my transmission broke down at only 117k and we do not have the money for the repairs."
2.5,Ridiculous piece of trash,sherrypisces ,10/23/2014,,,5,5,1,1,,1,5,1,1,"I purchased my 2009 Traverse used last year and it was exactly what I wanted and needed for my family. Well, from the beginning I had problems with the car. I was experiencing a stalling type of drive. I would be driving along and all of a sudden the car would jerk and go extremely slow almost killing myself and my family. At times the vehicle would jerk and lose all power and shut off in the middle of the highway, street, anywhere! I have put so much money into this vehicle that I am embarrassed to say. I don't know what to do or who to contact because this is not a safe vehicle. Do Not, I repeat, Do Not purchase the 2009 Chevy Traverse EVER!",The inside of the vehicle is all that and more! I love the leather seats and the radio and the space is ridiculously perfect!,I suggest Chevy buy back each and every 2009 Chevy Traverse because there is something wrong with this particular vehicle.
