1,#Knewbetter on 09 Dodge Grand Caravan SXT 4.0L,FirstSgt ,07/07/2016,2,3,4,,,1,3,2,3,,,"Bought used 2009 only a few months ago with less than 100K; looks great, but not reliable.  Has developed a serious electrical problem, besides three EGR valves in three months also (OEM Chrsyler part, mucho $$, MUST be used in EGR replacement); had the WIN Fob Chrysler recall work completed shortly after purchase also and since then vehicle has had difficulty starting; has stranded my wife more times than I can count in past few months. Replaced the battery and starter, didn't help.  No one knows what it is and I refuse to replace TIPM while ""fishing"" for electrical problems.  Blogs seem to point towards Neutral Safety Switch, but its ""fishing"" again.  Fishing becomes expensive when Chrsyler can't pinpoint its electrical problems.  Sometimes it will start if you shift to Neutral, sometimes it won't.  Van looks great, but it is not reliable for family transportation certainly. 2nd Row Sliding Door wiring harness recall was ineffective, have wiring frayed and broken and a sliding door that no longer opens or windows the rolls up or down with Fob.  Radio is now locking up and turning itself off and on.  Think twice before biting... price might be affordable for a reason because your going to make your local mechanic very happy with all the service you'll give him.  Had a 99 Dodge Caravan and drove it for 5 years with no problems, loved it; this one, not so much.  Look elsewhere unless you are a mechanic or have a good friend who is a mechanic.  I tried to save money in this purchase, I've not and now it has become a burden; the question every trip is, will we make it to our appointment on time or even at all?  Its been an emotional roller coaster not knowing when its going to start or not and of course, each time it gets to service via TOW... it starts.  I think there might be a Gremlin in their electrical system.  Stay clear unless you have time and money to waste, your salesman doesn't have to drive it everywhere, you do and with your kids inside too.",,
3,150K update,etp ,07/06/2016,3,3,5,,,1,3,3,5,,,Seems they all have this notorious start issue. Anyone ever get it completely fixed and care share how they fixed it?,,
2,150K update/4.0 engine,etp ,07/05/2016,1,4,4,,,1,4,2,4,,,Really enjoyed the van when new but the start issues have plagued this vehicle for years and numerous recalls.  Plan on new tires every 40-50K and brake pads on a regular basis. Bought two and one has had transmission issues since new. Solid 4.0 so far.  Weak radiator connection points.Bought the extended warranty and needed it bad.,,
2.625,Frustrated!,okfamily ,06/25/2015,,,2,4,2,1,,3,4,3,2,"As an owner of a 1999 Plymouth Voyager van with 360,000 +miles, and very pleased with the quality, THIS 2009 Dodge Grand Caravan is a piece of JUNK. The brakes need rebuilt every 10-15k miles (with rotors and calipers being replaced at various intervals. The air conditioning condensate pan does not drain and fills up with water and damages the fan so it needs replaced.  The van does ""walk"" all over the road (not fun to drive) and wears out GOOD tires.  The interior back seat plastic coverings fall off.  The passenger door wiring is breaking in the tracks (cheap wire).  Other than that, OH, now there is a ""growling"" noise in the front end (bearing?). I Won't buy another Dodge van!.  ",Stereo is good quality. Front seats are comfortable. ,"Brakes, air conditioner pan drain, alignment/suspension, interior, wiring, etc, etc.  "
2.25,NO MAS!,jedi651 ,01/23/2015,,,4,2,1,1,,2,4,1,3,"We tried to love it, but just couldn't deal with the dealer (white Bear lake, Mn) who guessed on every repaired needed. Long story short, we bought the van used. clean carfax. great the first week. second week was a disaster. van would die 3-5 times daily was exiting the hwy. while operating at 30mph the van would become very sluggish, then die when coming to a stop. replaced spark plugs, MAP sensor, throttle body didn't change a thing. brought in to the dealer to figure it out. diagnosed that the WIN module was faulty and needed to be replaced.(not part of the recall) asked why its sluggish, dealer didn't know. finally just gave up and traded it in for a Honda. People be advised, stay away!","4.0, entertainment system. stow and go.",Transmission shifts too hard. vehicle needs to be reprogrammed to be up to date on current health status and only the dealer can do this update. keyless ignition is garbage! Chrysler/Dodge needs to own up to the whole WIN module unit and not just the detent ring. lives are at risk driving in and around these vehicles everyday!
3.375,I wish I could recommend it... but I can't,mrpyromaniac ,08/19/2012,,,5,4,2,1,,4,4,4,3,"Bought the 3.8L SXT version, only have 33k on it.Having the transmission rebuilt right now.My wife drives this van around our small town, and we take weekend trips.It's well taken care of.We've had to have ALL the brakes replaced three times now,the tires are pretty much shot because of the brake problems, and there is a bad motor mount, and now the transmission.The engine is great, and the features and interior are phenomenal, but with the brake problems and now the transmission, clearly the build quality leaves much to be desired.That's why a Toyota is 20k more...","Interior is very roomy, the stow and go seating is amazing, the seat fabric is easy to wash and remove stains from, the 3.8L engine gives great power, the van handles well (when the brakes are not catching... which is most of the time), the sound system is good, the seats are comfortable, the automatic doors and rear hatch are convenient.
","After 33k miles of easy driving, the front brake pads should need to be replaced, That's about all.
We've had to have all the calipers, rotors, and pads replaced three times, which is bad enough that there should be a recall and new brakes manufactured and fitted to replace the current non-funtional design.
I bought the van so I wouldn't have to worry about having vehicles fixed all the time, that plan did not work out well.
Chrysler extended the warranty on the front wheel bearings, clearly because those are defective.
The transmission blew up already, and a motor mount is bad.. the build quality... not so good.
 Also, my 93 volvo I drove had auto headlights, this van doesn't."
3.75,Family Hauler,torinoman ,07/11/2012,,,4,4,3,4,,4,4,3,4,"We have the 4.0 engine and it performs great.This van is the only way to travel with your family.However, Dodge needs to get some thing right.The brake rotors started going bad at 15,000 miles and Dodge would not honor the warranty.They wanted $100 to fix their problem.Next, the Bridgestone tires on the van are garbage (nearly worn out at 20,000 miles).The air conditioner fan motor goes out after a while (however it will work after stopping the van and restarting a short while later).The radio conked out in the first year.A good vehicle with some minor changes would be a great vehicle.Dodge needs to step up and cover their mistakes.","Entertainment system is nice, tons of cup holders, halo lighting, and good looks (the 17"" wheels look great).
Easy vehicle to service, all service points are easily seen.","Better fit and finish, occasionally I have to go around the vehicle and push the bumper covers back in place (the corners wand to stick out).
Quit using cheap tires, brake parts, and so much plastic in the interior.
Subtle improvements would make this a great vehicle.
We have 44,000 miles on the vehicle (purchased new) with the lifetime powertrain warranty.
I hope the company will back the warranty if we ever need it (I tend to keep a car between 200,000 to 300,000 miles)."
1.75,"Horrible , never again",elizabethd ,11/17/2010,,,2,3,1,2,,1,3,1,1,"Had an 02, loved it. This 09 is a piece of do doo. Chewing up front tires like crazy, alignment issues, steering issues. Car drifts and moves side to side (cant even explain, its something you have to feel ) steering wheel moves on its own over not smooth road, bumps railroad tracks, etc. Car flexes bad by the sliding doors. Even had transmission experiences and the radio tuning all by itself. All dealers say they don't see any issue, and one said the steering wheel moves to compensate for the road? Personally, I think they know it's messed up and won't admit. So going the lemon route after I hear back from Chrysler! Gas mileage is horrible. ","Love, fits 7 people . Stow and go nice to have. ",Put a much better suspension on this thing. Major overhaul in the way its made. Better materials inside ..the carpet is like cheap felt .
3.375,Nice family van with several issues,PeteK ,08/18/2010,,,4,4,3,3,,3,4,3,3,"I got a chance to own this vehicle for a period of 12 months which gave me a chance to do a fair evaluation of this product. Let me state first that I do like this vehicle. I purchased one with the weakest engine, so I do sometimes wish I had spent more money and should have gotten at least the 3.8 L one. I had issues with the rotors at 7K which is a well documented issue with this vehicle and now at 11k had a problem with front wheel bearings going bad which is another documented issue. Otherwise, the vehicle is solid with several immaterial shortcomings. I will be looking to trade it in and get the 2011 year model for this brand new 3.6 L Engine and 6AT transmission.","Back seats fold in the floor, spacious cargo, Aux input on the radio for iPod or any other music playing device. Comfortable seats.","Side vents need more air flow, AC is somewhat weak. Lack of interior lights in the back, was forced to buy some portable miniature lamps to accomplish task. Readout lights are pukey green. This is 2010, hello? Mileage in the city is about 15 mpg."
5,09 Grand Caravan SXT 3.8L,Davemc83 ,12/02/2009,,,5,5,5,5,,5,5,5,5,"This is probably the best vehicle I have ever owned.  I cannot say enough about it.  We travel cross country from New Mexico to Michigan twice a year (pulling a pop-up camper) and we are very pleased with the performance and comfort of our new van.  If you are in the market for a new vehicle and need to cart kids around town and still need room left in the vehicle for your whatnots, then skip the gas guzzling SUV's and go for this van, this is not the soccer mom van of the 90's.  Dodge has done a great job upgrading every feature to make this a very desireable vehicle for people who want comfort and practicality.","Power doors, tailgating rearseats (Used for 4th July), A/C power outlet for DVD player, unlimited storage space with fold and go seats. We fit a washer and Dryer in the back of this thing.",we have owned our van for a year now and have not yet found a single thing that needed to be improved on.  My only suggestion is to get the towing package pre-installed prior to purchasing this vehicle if you plan on towing anything.  IT's worth it.
