4,Love my f150,Danny ,06/15/2016,5,5,4,,,5,5,4,4,,,I will always be back for an f150.  My truck has been phenomenal for 7 years and has held value so well.  I do all my own maintenance.  The processes are simple and fairly easy to perform for the regular maintenance schedule.  Parts are not expensive and the oem parts last as they should.,,
3,Just an average truck,don butner ,04/20/2016,3,3,3,,,3,3,3,4,,,In 7 years I have used this truck as a car.  I've had a major problem which required replacing the front steering unit.  The heater/air blower unit had to be replaced.,,
5,Dependable Smooth Tough,Josh K ,01/26/2016,4,5,4,,,5,5,4,5,,,"I purchased my 2009 FX4 SuperCrew in 2012 with 49,000 miles on the odometer.  It is now 2016 and my truck now has over 195,000 on it.  I drive this truck A LOT, as you can see.  This is the first time writing a review for a vehicle I've owned, but I felt that I had to share my experience with perspective buyers. I have changed the oil exclusively with Ford Motor Craft oil and filters based off of the dash computer oil life calculator.  I have done all scheduled service either myself or at the dealer. This truck has never let me down.  Aside from oil changes and brakes, I have replaced both front upper control arms, front hub actuators, spark plugs, and serviced the rear diff, transfer case, engine coolant, and replaced the tires and battery. In 150,000 miles, I would say that is very minimal maintenance, and I couldn't ask for anything more. My fuel mileage has been consistent since the day I bought it.  My transmission shifts smooth, 4x4 engages easy smoothly, and the ride is still smooth, quiet and comfortable.I am updating this now with over 216,000 miles on the odometer, and still no issues with this truck.  I am very pleased with the reliability and quality of this truck.If you are looking for a reliable, comfortable and capable truck, the 2009/2010 F150 with 5.4 v8 is the truck for you.",,
5,The Duck Mobile keeps on truckin,M.G. Proctor ,11/12/2015,5,5,5,,,5,5,5,5,,,"I purchased my truck with everything on it from the factory. It has sat outside for the past 6.5 years, and the paint has not faded or chipped. It is best to have heavy duty truck brakes installed ASAP because the truck is heavy and normal Ford brakes just don't handle stopping well. At first I did not like the 6.5 bed, but after hauling a ton of stuff, it as worked out except for easy parking. I got the overall chrome package and I am still getting admiring comments, ""awesome looking truck, wow what a pretty truck, etc.""  The plastic chrome on the door handles and rims will crack and peel. I am running American 5 spoke chrome wheels, no problems. So far, this truck has done extremely well. I usually buy a new Ford Truck every 4 years, I just got another four year extended warranty on this truck so I guess I am keeping it a while longer.",,
5,Transmission in cruise control,Jerry knox ,08/14/2015,5,5,5,,,4,5,4,5,,,When I'm in cruise control the truck dogs down I'm not loosing power but I'm concerned about it what should I do I never had a ford before my first F150,,
3.875,5 years and going strong,james_neil ,08/22/2014,,,3,4,4,4,,4,4,4,4,so far the most reliable truck I have ever own in Canada,"ride's high which
gives me a good view of the road and improves safety 4x4 features is an added bonus in gravel road and winter time",gas mileage improvement is a must 
4,cruise,cc69 ,08/07/2014,,,4,4,4,4,,4,4,4,4,"09 stx shifts with a thump in cruise control above 65 mph. Took iy to the dealer twice, the 1st time they said there is no problem with and it was designed that way. Took it back the 2nd time they said there had been an upgrade with the transmission and they said they performed the upgrade but it still thumps when it shifts in cruise control above 65 mph. Does anybody experiences a similar problem and was it resolved?",Its a good truck other than that.,Fix the cruise control shifting problem.
4.5,Happy With the F150 After 5 Years,arcticdriver ,07/17/2014,,,5,5,4,4,,4,5,4,5,"I bought my '09 FX4 S/crew 5.4L in August 2009, to date it's been the best truck I've owned. I did have a problem with water coming in the cab through the windshield the 1st year that was promptly fixed, and the a/c clutch went out and was fixed under warranty as well. Other than that it's been a great truck. I tow a 7000 lb travel travel trailer around Alaska and northern BC and it handles towing up incredibly steep and long grades coming up mountain passes from the coast easily. It also handles the 700 km gravel surface Dempster highway going up to the arctic ocean just as well as it does starting and driving in temperatures of -40 or colder. I plan on keeping this truck indefinately.",,
1,Hidden Features,swicky88 ,12/21/2013,,,1,1,1,1,,1,1,1,1,"Do you have a hard time getting your dog to take a bath? Do they run when they hear the bathtub filling up? Well the 2009 F-150 is the truck for you. Just pick a good rainy day to take you pup for a ride, squirt some soap on the roof, and drive into the storm. Your cab transforms into a doggy bath with sprayers installed above the front and rear windshields and back corners of the roof. Open the doors after to drain water. Then crank the heat for a fast dry time.",Do you have a 2009 F-150 missing its Ford emblem? No Problem! Ford emblems are removable. They practically fall into your hands when you touch them. They want you to take them. Never pay for a replacement Ford emblem again. Your neighbor has one waiting for you.,Best of all these unadvertised hidden features are yours free once your warranty is up.
4.75,Best Truck on the Road!,alan556 ,01/23/2013,,,5,5,5,5,,4,5,5,4,"Purchased a 2009 F-150 Platinum about 4 months ago from a dealer.It had higher miles (about 79K).I bought the extended bumper to bumper Ford Warranty (4 years/60K miles) just in case and would recommend it for a Lariat, King Ranch or Platinum because of all the electronics.So far, no problems.Just had the oil changed for the first time and had it checked over and the mechanics couldn't find anything wrong.The F-150's are absolutely bullet proof.The 6 speed auto shifts seamlessly.Great exhaust note!Love all the features and the back seat it huge!The kids love it!My wife even likes driving it because it sits up so high.Great truck and the best vehicle buy of my life!","Back up camera, GPS and touch screen display, Microsoft Sync, power running boards, trailer tow mirrors.","Poor running boards on anything but the Platinum.
The power running boards are a must have!
Could have a little better acceleration.
If you are concerned about gas mileage, it could be better...but people don't buy trucks to get good fuel economy..."
