4,Great car,Owen ,09/16/2016,3,4,5,,,5,5,4,5,,,Only con is that it's a gas guzzler.  Otherwise I love this car,,
1,Good choice for a used vehicle,David Johnson ,07/14/2016,4,5,5,,,5,4,5,5,,,"This car has a lot of nice features that are not normally considered when looking for a new vehicle:  handle grips for getting in and out, sunglasses holder above the mirror, hidden storage area inside the shifter console.  I bought mine used, have had it for four years, and am  very pleased with its comfort and performance.  Dealership maintenance can be expensive but a good local shop can keep it running at an affordable cost.  Head turning quotient is excellent.",,
4.625,Best Handling SUV I Have Ever Driven,rfcn2 ,12/01/2012,,,5,3,5,4,,5,5,5,5,"We bought this car the first day of 2008.We owned at that time a 2003 MDX that we sold privately to the first person that came to see it.We now have 45,000 miles on the 2008 MDX.We drove most of the better SUVs that were available in 2008.IMHO this was the best one regardless of price.The only other one that drove about as well as the MDX and felt luxurious was the Buick Enclave.My wife mostly wanted a 3 row vehicle so Lexus was not really considered.The other finalist was the smaller Caddy.To me the MDX is a great handling SUV.It is really fun to drive.Not a Vette, but for a big car this is the cat's meow.Repairs have been needed but better than average.","Great handling.
Beautiful interior.
Stops quick.
Great sound system.
Fast.
","Sight line out rear quarter not good.
Ugly grille.
Earlier style was better and so was vision out rear quarter panel.
Brain controlling seats, mirrors, steering wheel motors not reliable.
Seat memory not reliable.
Bluetooth system for phone not easy to use.
Switch to regular gas.
"
3.625,Back to lexus,raindude ,01/02/2012,,,5,5,1,1,,5,5,2,5,"So i bought my mdx with 80k miles on it dec 2009.The technology, room, power, etc were great.I thought that this was finally e vehicle that i could run to 300k.Not. Turns out the torque converter was going bad at 95k miles.The dealership said that these things happen.I brought car to a local transmission place for a better price. They said their are many many problems with the mdx and pilot transmissions.They recommended a full trans rebuild since it would need one eventually anyhow.Not sure why acura and honda havent corrected this but the problem has been going on for 10 years.Bye bye acura.Bought my lexus instead....","Inside room with small outside.
Technology package.
Power.","transmission.
Dealership repair costs"
4,SH-AWD Will Make Everything Better,marko221 ,03/02/2011,,,4,4,4,4,,5,3,3,5,"During the recent snowstorm we received at Lake Tahoe, our MDX simply blew past everyone installing chains and kept up with the 4x4 rigs with the huge mud/snow tires and lift kits. Even on icy surfaces, we held our traction. The OEM Bridgestones have 5/32"" tread left but the power distribution to the fronts, rears, or left or right was incredible! It can be monitored on the computer within the dash.My confidence kept building during our 3-hour commute up the mountain.A hazard warning blipped on and off when I intentionally tried to ""drift"" the vehicle on an icy patch at the gas station.Note to all: the commercials regarding the SH-AWD are fact!",SH-AWD,
3.625,Acura doesn't stand by product,I'm Dissappointed ,10/19/2010,,,4,3,2,4,,4,4,4,4,"Nice driver, poor quality.  When I hit around 30,000 miles I noticed my lower paint chipping badly and starting to get rust on bottom of my mdx.  Went to my acura dealer to see if they would remedy the problem.  They will not stand by their design or workmanship.  On new mdx's they added a plastic strip and plastic flare guard on door. So they know the design was bad but will not fix the problem.  My 2nd mdx, also have an rdx, will never buy another Honda product.  There are many other nice suv's out there.",Handling,To make modifications to the vehicles affected and fix the problem.
4.25,Rear end thump/squeak noise ,mac ,09/06/2010,,,5,5,3,3,,5,5,3,5,I love the handling of this SUV. I had my rear end noise fixed as per TSB 09-002. Problem came back after few months went to the dealer to fixed it again. I hope the parts replaced the second time will last.,handling,fixed noise issues
5,60K and still loving it!,Chrissy ,08/28/2010,,,5,5,5,5,,5,5,5,5,"3 years and 60 k and I still love this car.  It has been the most reliable car I've owned.  Before my MDX I was averaging a new car every year.  Two Infiniti SUVs and one Escalade later I bought this.  I LOVE IT!  It has all the luxuries for a fair price with a beautiful fit and finish.  It's definitely a keeper!  It's comfortable, fun, safe, and easy to drive.   I put a lot of miles on my cars and this one has been the best of them all.  No problems whatsoever.  Before buying my MDX I test drove every Luxury SUV on the market.  This one was the best driving, one of the best interiors, great technology, and most affordable of them all.","Navigation, Traffic, Voice command, DVD, Back up camera, heated seats, 12 V power in main area of vehicle.",all of the improvements I'd like to see on my 08' have already been added to the new MDX. Acura really listens to their customers.
5,2008 MDX tech,acura08 ,08/18/2010,,,5,5,5,5,,5,5,5,5,Everything was great. Until I hit 60k miles (warranty expires) the wiper sensors and engine oil sensors got messed up. The wipers turn on and off by themselves and also the engine oil sensor. It was awesome how the engine oil sensor bugged out and I was on the highway during rush hour. The last row seats are a nice add but not for long trips. Honda/Acura is notorious for their window problem on the driver side. Driving the MDX is fun the handling is awesome I can whip turns better then a lot of sedans. Even the Lexus cant beat it not sure about the X5.,"the handling also love the stock tires that come with the mdx got up to 65k body style is very nice, and the tailgate camera is so handy","FIX the sensors. The outside molding trim around the window area of the doors, they get loose after awhile. "
4,Won't buy it again,gamerchick ,06/14/2010,,,5,5,5,1,,4,5,3,4,"After almost 3 months of owning it, I got a leak from the edge of sunglasses holder. I brought it over to the dealer ship, they didn't find anything wrong with it. Soon after, My memory seats are not working at all. It takes lots of pushes to get the seat moved to the right position. I brought it to the dealership again. when they tested it, the button worked fine. so they said they couldn't do anything till it acted up. And of course after I got home, the memory seat didn't work. Long story short, this issue is still not getting fixed yet.  I would not buy Acura again.",the 3rd row seats,electrical issues.
