5,Camry or Accord......think again!,GoFusion! ,10/28/2016,4,5,5,,,5,5,5,5,,,"Let me start this off by saying that this is my first car. My dad owns a black '09 Fusion with the sport package, and I loved the way the car rode, handled, and looked. When shopping for one, I searched for one exactly like my dad's, and I ended up snagging a red '08 Fusion with the same sport package with 85k miles on it. This car was previously owned by a Ford technician, and it drove like one. The trunk is huge....enough to swallow multiple bags of mulch from the Home Depot. Excellent front seats, a unique yet fresh design, and bulletproof reliability merely adds to the multi-talented nature of this car. The Camry had worse reliability and reviews for the same '06 to '09 period as this car, yet it sold by the thousands just because it was a Toyota. The thing I like the most about my Fusion is the handling, as it is extremely neutral and gives excellent feedback of the wheels and road alike. My biggest gripe might be the 2.3 liter four banger under the hood, as it only produces 160 hp. Or it could be that some of the paint in the front started to peel after having it for a year, but a new paint job could fix it. That said, the five-speed auto transmission gives crisp upshifts, and makes the car feel a bit faster than the 158 lb-ft torque rating suggests. I've had no problems under the hood or with the quality of the build, plus after three years, it has aged beautifully. This car should last me a very long time. And when it does expire, I know exactly what my next car will be......and it won't be a Camry!",,
4,2008 Fusion SE sport,George Bergman ,10/18/2016,4,4,4,,,4,4,3,4,,,,,
5,Awesome car,Andrea ,08/06/2016,,5,4,,,5,5,5,5,,,I bought this car used 5 years ago and have had no issues whatsoever with it. I love this car it has been very reliable. And she is pushing 100k and still no issues. Trunk space is amazing.,,
5,I'll be buying another one!,PB ,08/13/2015,5,5,5,,,5,5,4,5,,,"I've had my Fusion for almost five years now and other than maintenance that comes around 90,000 miles, I haven't had to do anything to it besides routine maintenance. We recently got into an accident, running into a stopped Ford F150 going about 60 mph--complete front impact. I am more in love with this car after the accident because of the fact that we all walked away with minor injuries, with my 13 month old having none. Now looking for my replacement  car, I'm looking for another Fusion. The car is roomy, comfortable, and the trunk has a TON of space. Great gas mileage and an overall great, safe car.",,
5,hands down the best car I've owned ,saaf ,07/03/2015,5,,5,,,5,,5,5,,,"Great car, 106,000 trouble free miles. Runs like new still. I just follow maintenance schedule on everything except I change transmission fluid every 30k.Now at 140,000. Still running strong and smooth. Changed a wheel nearing and a strut and a CV joint. All on the drivers side and all probably do to a family member hitting  pot holes to hard on that side and then driving it while damaged.","Smooth on highway, good gas mileage, rock solid reliability",The 150k suggested transmission change is way to long. A fluid cant last that long. Change every 30 to 40k and follow maintenance scheduale on everything else and this car can last 300k
4.375,"Great Car For The Money, with minor flaws",milennia ,08/28/2014,,,3,5,3,4,,5,5,5,5,"Now owning this car for two years, and I am very satisfied. It currently has 92,000 miles.Pros: The V6 engine performs very well with the 6-speed automatic, the exterior ages really well, it's not that expensive compared to the Toyota Camry, Honda Accord, etc., and I'm averaging 26.5 MPG (80% highway, 20% city). Very quiet interior, comfortable and smooth. Cons: The interior, imo, is a bit vanilla to my taste, also the door handle (on the driver side) is peeling . Another flaw is that the interior material under the airbag is starting to warp. Other than those flaws, it's a very nice car, and I would recommend it.","Very engaging to drive, excellent power with the V6 engine, and very quiet.

If you want a car that's fun to drive, hauls well with the V6, is comfortable and affordable, this is the car for you.",Just wish the interior was better with build quality.
2.375,Never Again,cnvrtdchevygrl ,07/26/2013,,,3,3,3,3,,1,3,2,1,"Purchased a 2008 Ford Fusion for my daughter for her 16th birthday.Have had the car 3 years and we're now working on tranny #3! Contacted the dealer and FMC with no help from either.Was actually told that the Fusions are ""throw away"" cars and that most people only keep them for a year or two before trading them in.Drove the car to work because mechanic said it was ""drivable"" and from 1st gear the car revved at 4000rpms before kicking into 2nd gear.The interior is very shabby, the drivers wheel is cracked and the door handles are peeling to the point where we cut our hands on them.Had to use duct tape to cover them so no one else would get hurt.",????????,Stand behind your products!
4,ok,cpletan ,03/27/2013,,,4,4,4,4,,4,4,4,4,i average 27 both city/highway and its ok to drive. but the temp sensor is screwy throws engine lite.,,fix temp sensor and low tire light needs better sign.
4.75,Economical and Reliable,dw1234511 ,12/15/2012,,,4,5,5,5,,5,5,5,4,"I've been driving my 2008 fusion for about 2 years, purchased in Sept. 2010 from the dealer at 38k miles.It now has about 60k miles on it.I judge a vehicle based on number of maintenance issues.I have had 0 issues during my time of ownership, therefore the car has met my expectations.It's a very nice sedan and gets about 31 mpg on the highway.I would recommend the Fusion to a prospective buyer.",,
2.875,Not what I expected,dmw82 ,08/25/2012,,,2,3,2,3,,3,4,3,3,"When I saw this car come out in 2006, it stole my heart! Traded in my 2007 ford focus for a 2008 fusion. The first three years of having the car was great. By the fourth year things started going on the car. The leather was ripping and noticed harsh shiffting. Come to find out there is a problem with the valve body which is inside the transmission. Then my ac went in the car. Had to replace the air temperature sensor,evaporator core, and heater core. In Florida you can't be without ac. Total cost was $1600.00. Now looking for a diffferent car and it won't be a ford. Thats why they nicknamed Ford (Fix Or Repair Daily)!","Automatic lights, aux plug, controls are all reach for driver, big trunk.",
4.75,BEST CAR I'VE EVER OWNED!,bmerrr06 ,06/08/2012,,,3,5,5,5,,5,5,5,5,"We got this car new in 2008.Ford was so confident in the car's performance they gave us a 5 year or 100,000 mile warranty on it!My wife put over 20k miles on it a year and it never had a problem exceptbattery went out at 80k miles.The car is awesome on gas 30 mpg highway and like 27 city.Even with 89,000 miles we got 8k for trade in.I am not typically a big fan of American sedans but this car was roomy, reliable, inexpensive, maneuvered well, and out-performed my expectations!I would def buy another someday :)",Gas mileage and reliability,"Darker interior, we were not happy with a tan interior and many of their colors have the tan interior...."
4.875,Very impressed so far!!,benzcrazy1 ,01/02/2012,,,5,5,5,5,,4,5,5,5,"I just recently purchased a 2008 Fusion SE with 44k miles from the dealer that I work at. I own 5 cars already so trying to find number 6, I was going to be picky, this was going to be my daily driver but I wanted to have something fun, reliable but efficient. I am completely impressed with everything so far! The gas milage is great! so far its staying right around 25. It is so comfortable and fun and easy to drive as well! Amazing trunk space and such a smooth ride, almost as equal as my Mercedes! I am a huge Ford truck guy but never thought much about their cars, I am definitely converted! Great job Ford!! You definitely reeled me in with this one!","The reliability, look, comfort, mpg, the list goes on and on!!",The headlight switch is a little too far down on the dash. 
3.75,Nice surprise from US brand auto,bruceocala ,12/19/2011,,,3,4,4,4,,3,4,4,4,"I got this car in May. I thought I'd buy Camry again, but got this Fusion w/automatic trans. It was cheaper than Camry and frankly fit me - a big guy - like a glove. So far, smart move.It has some dumb little design annoyances, but the conveniences outweigh them.It's as economical and reliable as a Camry, offering more space in leg room, overhead, front area storage, back seat seating, and a huge trunk.The handling on turns is like a race car, yet the turning radius getting into a parking space is poor; always an extra maneuver for a tight spot. ","Even this no frills model has AUX plug inside console box for iPod. It has all the features I wanted. Great AC for me in FL.

Like I said above, cornering is just awesome, better than son's Scion tC. 

Lots of varied and generous storage.

I get 25-27mpg in mixed city-highway driving. Once at 5th gear, it sails along with very low RPMs. Highway runs about 30+mpg - great car if you do mostly highway driving.

Solid and consistent with no mechanical issues in my 12k miles; now car has almost 50k.

At 6'5"" 250lbs 55yo, I'm very comfy. I really like this car. ","Yes, 4 cyl is underpowered, especially compared to Camry, but I've adapted. I'm sure 6cyl is better but don't make it a requirement. You'll do fine with 4cyl.

Yes, it's a bit loud; engine noise and at high speeds. Not that it's a real problem, but you will wish you could get a bit more volume from the stereo sometimes.

Yes, it's got a weird left handedness and other quirky designs. I'm used to headlights and wiper control on the column sticks. Not here; only one column stick w/wipers only, plus push forward hi-beams. Headlight dial is on lower left dash. I'm always turning on wipers when I want lights. 

The complaints are minor. Ford Fusion is aces on the major items."
5,Buying at end of lease,lga2 ,07/03/2011,,,5,5,5,5,,5,5,5,5,"I did alot of research when I leased the fusion and the reviews were great.Now I am here for research after driving the car for 3 years and 54,000 miles.It has a new battery and now needs tires but other than that it has not been in the shop except for routine maintenance. It looks and drives like it did when it was new and the gas miliage is still in the high 20's to low 30's.Based on the reviews I read today I understand why my residual value is far below wholesale and retail value.There don't seem to be many used fusions on the lot so I guess most people are keeping them after the lease is done.Kudos Ford, I have never fealt the need to review a car before.","leather seats, moon roof, sound system, fold down back seats for hauling things you really shouldn't haul in a car. ",none
4.875,Great car,timmy3104 ,04/09/2011,,,5,5,5,5,,5,4,5,5,I have 72000 miles on it.I have only had one problem with it in 72k with was the Alternator went out at 50k.It was covered under my bumper to bumper so I only had to pay 100 bucks to get it fixed.I get 28 MPG with the ac on doing 75 to 80.I put Michelin energy saver tires on and am hoping that gets even better.The SYNC is the best use it everyday so easy to use.The V6 is great put your foot to the floor and it goes.This is by far the best car I have every driven.,"Heated Seats and SYNC.
I drive 100 miles a day nice to leave my phone next to me but but call people or listen my my itunes.","The only problem I had was the stock tires.
They since changed them to a much better tire with I now have on it.
Wish you could get a Bose sound system in it but not a huge problem."
5,Born to Be free,ybbaw ,04/05/2011,,,5,5,5,5,,5,5,5,5,"Recently purchased a used Ford Fusion SEL. my first impression is that the quality of the ride is good. Heated seats are nice and duel control air works well. I'm sure as we put a few miles on it and situations change I'll have more to say about the car. But, for now it's a nice ride for the money. ",,
3.375,Not what I expected,pnoyes ,03/13/2011,,,4,4,3,4,,2,4,2,4,"I bought my fusion new, while trading in my '05 F150 for it to obtain better fuel economy.The biggest thing i can't stand about the car is winter driving.The traction isn't as good as any other front wheel drive cars i've drove, and the windshield wipers rest below where the defrost blows on the windshield (causing them to freeze over when not in action).The 2.3L engine is very underpowered, and doesn't really get the gas mileage that it suppose to.The last problem I have with this car is that the whole ""best resale value"" is a lie. I can't get out of the fusion into a truck again, even after paying on it for 3 years.All that aside, I have racked up 48k with no major problems.","I do have to say that I love the Sync and bluetooth.
The cornering is the top of my list for a car that I didn't expect to handle like it does.
For a smaller car it also has great leg room, and the seats are very comfortable (good for the long trips).
","The 2.3L needs more power or gas mileage, pick one.
I think that the wipers also need to be relocated.
The sound system could really use an upgrade.
"
