5,Fun to drive and kept it's value.,Donna L. ,05/14/2016,5,4,4,,,5,4,5,4,,,Fun to drive and so useful.  Holds large grocery orders or gardening supplies.  Twice the driver side visor clip broke and twice the cruise control had to be fixed.  Only other problem was blue paint turned white in large spots on roof and hood.  Only happened in 8th year of ownership. Even with unsightly paint the trade-in value was $6600.  I was very impressed.  Replaced this car with 2016 Honda Fit-EX.   Loved original car and now love my new one.,,
5,"great little car, still going strong",Dee ,02/20/2016,5,5,5,,,5,5,5,4,,,"I brought my '08 Fit Sport used at 10k miles.  I love the small foot-print when driving in the urban area, fuel economy, exceptional cargo space, flexible backseat configurations, and most of all - Honda reliability.  I've only put 60k on it so far.  No major issues (knock on wood) with only synthetic oil changes every 5-6k miles as indicated by the oil meter.  Fuel economy is good at around 26mpg around town and 33mpg on hwy.  Nevertheless, these are still good numbers even though I've read 40+mpg on some other reviews.  I dont know much about car dynamics, but I feel the car steering is precise.  109hp is not excellent, but with manual transmission, it is way much more responsive than automatic transmission when stepping on the throttle (instead of hearing the engine revving, then the power comes in a second or two later).  After 7 years of ownership, I've started car hunting again in hope to get a subcompact/compact SUV.  However, I have yet found an ideal replacement for my beloved Fit.  Until then, I am still a happy Fit owner.  Things I like:leather-wrapped steering wheel (you wont get this now unless paying for the top-of-the-line trim model $$)Magic Seat!ergonomic & simple layout for audio controlseasy to read odometer & tachometer (love the blue color)Things I dislike:road noise - very pronounced on highways, especially compared to my sister's new 2016 Fit",,
5,2008 Honda Fit Sport 169k BULLETPROOF RELIABILITY,taushamccarthy@yahoo.com ,11/19/2015,5,5,5,,,5,5,5,3,,,"Seats are stiff - that's my only complaint. Like others have said, car is bulletproof reliable, has awesome cargo configurations, and no significant repairs. I have found the original tires to be meager - at best. I had to have them replaced at 40k miles. Brakes done twice, tires twice and that's it. Everything works on the car and the rear cargo seat configurations have been fantastic! I drive it like mad - cross country multiple times, which is when the stiff seats bug me. They don't bother me otherwise. The car is an economy car and mine is a manual, which gets me about 40mpg. I drive the automatic and felt like the manual got much better performance, but I also just like manuals. All my cars have been sticks - this one has a tight gearbox, which took some getting used to - but I have had no issues with the transmission (or anything for that matter). My gf has a 2009 with about the same mileage - it's also a manual. There's very little difference between them drive-wise. Sound is good and I love the USB. The rear seats fold flat or fold upright for better vertical space. I have been surprised what all I can fit into it. I have used it to move multiple times. It handles really well. I'm finished with grad school now and feel like it's time to trade up but I can't find anything that is as solid and fun to drive. All these newer cars seem to have issues OR get crappy gas mileage OR come with a huge monthly payment... so for now, I'll be keeping this one.",,
3,"Happy with my fit UNTIL 150,000!! BEWARE! ",matt331 ,12/09/2014,,,3,3,3,2,,3,3,3,4,"I would say up until a couple of months ago I would rated my Honda Fit a easy 5 out 5 stars UNTIL I crossed the 150,000 mark. I will let it be known I've been the sole owner of this car and have all maintenance done at Honda (oil changes/inspections). Since passing the 150k mark I've had the car towed twice once for a bad fuel pump ($700) the second time because the accelerator coils and water pump went out completely. The second issue ended up costing around $1500 because valve adjustments and new parts. The check engine light has come on several times since and needless to say I'm now afraid of driving this thing down the street. So beware after 150k, it's a money pit!",,
4.25,"My 150,000 mile Fit experience",leebabysimms ,12/05/2014,,,4,3,4,5,,5,3,5,5,"In 7 years, I put 150,000 miles on a new 2008 Honda Fit Sport and just sold it  completing my experience. I found the car to be exceptionally fun to drive, with insane cargo capabilities, and bulletproof reliability. I made so many great memories with this car and smile whenever I see one (in my color) on the road. My intense satisfaction was only dashed when I drove the new 2015 Fit I had planned to replace it with. Immediately, if felt like Honda killed my fun little car and I moved on to another car maker (I replaced with a 2015 Toyota Corolla S Plus).","Super responsive handling for the price  genuinely fun to drive. Great manual gear box (up to the Honda legend). Well positioned steering wheel with nice leather wrap (Sport model). Innovative folding seats that offered surprising cargo hauling dividends over and over in 7 years of ownership. Great rear end crash protection  I walked away after being rear ended at 35+MPH by a large SUV (the Fit was repaired well, and remained a solid performer). Very reliable  almost no unscheduled repairs in 150,000 miles. Outstanding resale value. ","The seats were not designed for comfortable long trips. I would get neck fatigue from being a ""bobble head"" on drives over 50 miles that I don't get on our other vehicles. Also, the seat material was not as stain resistant as other Honda's I had owned in the past  particularly on the otherwise attractive Grey inserts. Faded coffee stains remain for the life of the car (I recommend sheepskin seat covers). Finally, the car's feather weight doesn't make it a wise vehicle for mountainous snow driving unless you make an investment in top-performing snow tires."
3.375,Gutless Wonder,ronsbiz ,05/30/2013,,,4,4,5,5,,2,3,2,2,"I bought this Honda Fit in 2012 with 37,000 miles, and have since put 91,000 on it. Like some Honda's, this is a well built, functional car but not well engineered. I can't explain why Honda has a penchant for putting under-powered engines in their cars (like the 2.0L engine in early CR-V's), but here they did it again. 109 horsepower and 106 pounds of torque may be fine for over-taxed and over-regulated Europeans, but when you are competing with V-8's for lane space on American highways, 109 horse's relegates you to the slow lane. I understand the new Fit's have 117 horse's, but the vehicle has gotten bigger since 2008 as well,so you're back to square one. If Honda were to offer the 1.8L en","Smooth transmission, nimble handling.","If you call something a ""sport"", add a sporty engine."
4.25,"Over 4 years later, still love it and no problems!",cyanosissaur ,01/31/2013,,,4,4,4,5,,4,4,5,4,"I bought this car new in June 2008 for the price, style, space, and gas mileage.They were hard to get a hold of in my area because of popularity at the time, so I got lucky when mine arrived on a truck that the dealer wasn't expecting.I still love it.Aside from routine maintenance, I've had no problems with the car.That's even after being hit by another driver two separate times, so most of the body has been repaired.I drive from Ohio to Connecticut a lot and don't have a problem on long trips or in the city.Sure, there's road noise, but what do you expect from a compact car for the price?The road noise gets worse as tires wear, so new and well kept tires make a big difference!","- Love that the rear seats fold down for cargo space.
I can fit a papasan chair or disassembled desk inside, and have moved apartments using this car at least 3 times.
- Enjoy the blue lights on the interior controls and dash.
- My 6'4"" husband can drive or ride in it comfortably, even for the 12 hour trip from Ohio to Connecticut.
And for 5'2"" me, it offers plenty of space.
- Gas mileage is still excellent.","- Different intervals on rear wiper (it's either on or off, there's no intermittent setting).
- Map lights.
- Heated side mirrors.
- Beeping for seat belt in front passenger seat never stops when it ""detects"" enough weight!
I know this after it beeped for a 4 hour drive moving when I had stuff piled on the front seat.
- On driver's side floor, they put some sort of waterproof there, so the floor mat slides around rather than stays put - Note, I do not have the specific mats that are designed for the car, so it could just be the mat.
- My actual buying experience and customer service from the Honda dealer where I purchased the car was AWFUL, but despite that the car was totally worth it"
4.5,Reliable After 4 Years of Ownership,strawberries ,09/21/2012,,,5,5,5,5,,4,3,5,4,This car is our daily driver. We have had zero issues with this car. The car is still using the original light bulbs from day one! Just regular semi annual service at the dealership. This car can hold a lot of stuff with the seats folded down.,"Cargo size, brakes, low maintenance cost, and handling","This car needs a telescoping steering wheel and slightly softer suspension. The handling is excellent, but soften the suspension a little bit."
3.5,"Fun & Practical, but...",joshnbecki ,09/08/2012,,,4,4,4,5,,2,2,3,4,"This is a cute, practical little car, but it seems to make a lot of compromises. I would expect a little better milage from the small, overly busy engine. The ride is rough with the Sport setup, harsh even, though this means it has GREAT handling...that the power can't live up to. Just another 20-30 hp would do the trick & more match the MPG. NEVER take it on a long drive--don't even think about it. The constant engine whine and wimpy attempts to get up hills, combined with supportive but rigid and uncomfortable seats, made worse by peddle position, will drive you NUTS.",We love the gauges--Honda could give every other car maker lessons. Ergonomics are great! SO flexible--flopping down the seats gives oodles of room. Very reliable. The handling is nothing short of amazing for such a tall car.,"This car needs a little more power--not much, but a little, so it can get out of its own way. Honda needs to seriously rethink the peddle position--it is the most uncomfortable angle I've ever seen in a car. The seats aren't particularly comfortable--best for short rides around town, which is where this car needs to stay."
1,Junk,bbb15 ,12/13/2011,,,1,1,1,1,,1,1,1,1,"Nothing about this car lives up to the hype.It shakes over 60mph, the clutch is horrible, and everything in the interior rattles while I drive.It feels cheap and is incredibly uncomfortable to drive.I've owned $500 cars that were far better.I very much regret buying this car. ",None,"Clutch.
Road noise.
Engine shakes at high speed."
