5,Just gas and oil,Justin Wasserman ,07/21/2016,,,5,,,3,5,5,5,,,"I've owned by IS 250 for 8 years now and I have literally only put gas and oil in it.  Nothing has gone wrong. I do the various required maintenance (at 30K miles, and so on), but it's been a great car.  The dealer just wrote me a letter asking if he could buy it back and I honestly can't come close to being able to replace the car with something half as nice for the same price.  It's a keeper.",,
2.375,Not Happy,mujs33 ,06/21/2015,,,3,4,2,2,,2,2,2,2,"I have owned 3 Lexus's my fist was a 2003 is300 i absolutely loved that car. This car however i don't care for as much. I have had many issues with this car, first the airbag harness cost me 2500 due to a airbag light, the second my rear passenger axle went bad ""cost me 1000"" now my exhaust has a leak and it's loud and the door trim is coming off and the window makes a loud noise and is slow when you roll it down. No more IS's for me unless it's the 300 again. The interior is smell im 6ft and it just not that comfortable. I like the way the interior looks but like i said unfortable. I have to push the seat all the way back and all the way down to get where i want and no head room. ","awd, body style",the reliability this things a turd. 
3.5,expect better from Lexus,yogidog00 ,09/30/2014,,,3,4,2,2,,4,5,4,4,"I have a 2008,bought it with 75k. I now have with 99k miles. The navigation system went out, 1800 dollar repair. You need the screen to control A/c radio etc. Touchscreen just stopped responding one day. For a luxury vehicle electronics should not break after 6 years.  At 99k started to overheat, mechanic said there was a crack in the engine head. this vehicle was babied. If this was a kia or lower end car I could understand, but this is a more expensive vehicle because we expect better build quality. If your going to use the same quality standards as a Ford or Kia then don't expect top dollar for your products. The dealership told me the nav system is very common to break.","Comfortable,  classy, good pick up","Better build quality, I shouldn't have to replace internal engine parts with less than 100k or have to replace a whole nav system just to operate the a/c and radio. Build things that last and we will pay top dollar for them."
5,Best car I have ever owned,tony3434 ,05/28/2014,,,5,5,5,5,,5,5,5,5,"My 5th car.This one has been by far the most reliable and pleasant to drive. Not one single issue.I wish the seats folded and that it had Bluetooth. Everything about this vehicle is solid.Tire issue but that can be avoided. Factory alignment will make the insides of your tires wear in half the time but there are shops out there that will align it so the wheels are not angled out as much.I average 27 mpg.Max has been 29mpg.If you really tone it down, 31 mpg hw. These figures are obtained by resetting the trip odometer and then dividing the number of gal it took to refill. I am not that tall so the car fits me great.5 people in the car is a squeeze but not that bad.","Durability. Handling. Acceleration.
Stable in any weather condition. Decent trunk space.
Looks great. ",Fold down seats. 4 same wheel sizes so you can rotate tires. 
4,2008 IS250 with manual transmission,ardinos ,10/28/2013,,,4,3,4,4,,4,4,4,5,"Very good torque throught the manual gears, especial 1 thru 4; holds turns very well; easy to handle/steer - good wheel feel; powerful breaking; and still quite, espec. when touring; AND signif. more power to the rear wheels than the automatic. But ... nothing like the MT in my 1994 Lexus ES300.I had many problems with IS manual trans. After buying IS250 as CPO with only 2k miles, all kinds of MT came up: the worst being the flywheel was warped and I could get the car to move away in 1st from a stop -smoothly and with no jerkiness. It was maddening; had to argue and convince Lexus to take it seriously.Finally, 13,000 mi later, they replaced flywheel, which showed hot spots throughout.","Handling, especially through fast turns.
This, including good torque coming out of the turns and great breaks going into the turns.

Even with the mediocre man. transmission, it's fun to drive and spunky.
Compared to the auto. trans. IS250 (which I drove as a loaner car), the extra power to the rear wheels provided by a man. transmission is clearly noticeable in performance -
espec. accelerating out of turns or just straight ahead or coming ""off the mark.""","Lexus, please don't install a cheap transmission in an good car.

(Note: I believe Lexus stopped making a model
with manual transmission, starting in maybe 2012.)"
4.75,6-Speed Manual is Great,jthoms22 ,10/03/2011,,,5,4,5,5,,4,5,5,5,"Have seen some bad reviews of manual trans - I think it is excellent through the first four gears, with just 5th and 6th being a bit rope-a-dope to get there.And the manual really makes the engine come alive.Also, i am comparing to a 2008 328i BMW, and a 2004 Honda S2000 - Honda the best obviously, but I would say IS 250 trans better than 328i.","Rev-happy engine, manual trans, very good handling, intuitive features and controls, very good ride, comfortable seats, good steering feel for most driving.","Handling and steering certainly could be dialed up a couple of degrees for really spirited driving.
A few more horsepower, a slightly bigger back seat, and memory seats and mirrors in basic premium package."
4.625,"It's not a sports car, but it's a great car",ocnelson ,04/01/2011,,,5,5,5,5,,4,5,4,4,"If you're looking for a sporty drive, go with the 350 or G37.If you're like me, the lead in your foot has been replaced by maturity, this is a great car for you.Bought this car 15k miles ago with 35k miles.It is my first ""luxury"" car but I've driven all the competition (bmw, g37, tl, c300)Comfortable, looks great, feels great, and the nav makes life easy.The interior is a tight fit so if you are using the back seat all the time for passengers, pass on this one.But if you only use it on occasion then the back seat will do.If you're sitting in the front you'll be comfortable, you'll be pleased with the look of the interior, and you'll find the touch screen easy to use.","Looks great, both from the inside and out.
It's a smooth drive and comfortable (as long as you're in the front) on long drives or as your daily commute.
The Nav is super easy to use with the touch screen and the ML radio sounds perfect.
I haven't had any mechanical issues so far in the 15k I've had it.
","Power and Ipod.
As mentioned before, if you're looking for something powerful, you're better off with the 350 or the Infiniti.
Press the gas and you won't experience whiplash, or even slight neck pains.

It would be nice if you could control your ipod from the radio controls on the touch screen, rather than the wires showing (audio jack in the center arm rest).
Bluetooth control would be better.

Another downside, expect that maintenance will be expensive.
Tires won't last long.
"
4.75,Good all around,crackerfarmboy ,03/18/2011,,,5,5,5,5,,5,5,5,3,"I've been reading all these reviews complaining about the ride quality.That's due tothePotenzas from the factory.I replaced mine with Continental ExtremeContact DWS tires and the ride quality is 1000 times better.Also, buy a car with low profile tires, they WILL get damaged...on any car.This car is getting close to three years old and gets driven hard about 80 miles per day.It doesn't have a single rattle, squeak, or any other flaw.It has been perfect since day one.The engine definately needs more power.This car has decent power, but for the $42K that is costs, it should a lot more.The interior comfort and design are outstanding.","interior comfort, countless bells and whistles, refined ride","Put better all purpose tires on from the factory,
50 more horsies under the hood, stronger brakes"
4.75,IS250,canderson3 ,03/06/2011,,,5,5,5,4,,4,5,5,5,"I have had this car for three years, and I love most everything about it. It's a great car, and I hope to drive it for a long time. My only complaint is the decreased visibility when backing up or changing lanes. ",,
4.25,Good for me,3dog ,02/18/2011,,,4,4,5,5,,4,4,4,4,"I've had this car since November of 07 (it's an 08).I, too, had problems with potholes the winter of 07-08 - sidewall damage on 2 tires which had to be replaced with less than 5000 miles on them.I promptly got a set of rims one size smaller with snow tires that were NOT low profile and I've had no problem since.The car handles great in the snow, pulling through the piles of snow our village plows against the end of the driveway.The ride is a little jittery on the expressway, sometimes seeming to find a harmonic convergence with the ridges on the road, but it is comfortable and quiet.I average 25 mpg on my daily drive, up to 31 mpg on long trips, slightly less with the snow tires.","AWD, navigation, heated seats, bluetooth system for phone works well, rear window shade, which I almost never use but is cool to deploy.","Navigation system that would allow the passenger to change while driving.
Don't like the low profile tires, but they are ubiquitous on sporty cars today."
