4,Perfect for a weekend for 2,Carl ,07/13/2015,4,4,4,,,4,4,4,4,,,"My wife and I where looking for a little 'mid-life crisis' fun - we are both in our early 50's.  I had previously owned a 1974 Fiat Spider in my youth, so we looked at used re-conditioned Spiders - while from a nostalgia stand point it seemed fun, it wasn't practical - too many modern bells and whistles missing.  We came across the Solstice on at a used sports car dealer with a good reputation - in really well kept shape and low mileage for a 2008 (30k) and attractive price.  Very happy with it - we didn't need top end performance , but it is sporty, turns heads  and a fun weekend play 'toy'.   Stowage for gear isn't the greatest, but we can get what we need in it for an extended weekend get-away - a small duffle bag, camera and a couple of lens.   Well worth the price we paid, decent gas mileage and alot of fun.",,
4.625,Great Sports Car,pilot601 ,02/22/2015,,,4,5,4,5,,5,4,5,5,"After selling my convertible Corvette two years ago I started looking for something to take its place. 
I found a 2008 Solstice that is white with a black top just like the Corvette was.
The Solstice is actually more fun to own and drive. It's sporty, quick and just a fun little car to own.
The Solstice has awesome lines and performs like sports cars three times its price.","Body Style
Handling
People asking what kind of car it is.
Ease of parking",More interior storage.
5,First Car,swankytigers ,10/08/2013,,,5,5,5,5,,5,5,5,5,"I received this as my first car when I first started driving, and I can honestly say it's been the best car I have ever driven. For 15k, you get an engine that feels just as powerful as a 911. It has very sexy angles that perfect it.Go pontiac! ","Leather seats = so comfortable.
Color choices! I got brazen orange. ",
5,feel like a kid again,bill45005 ,05/28/2013,,,5,5,5,5,,5,5,5,5,"Bought this car , a week ago and WOW!!!! I have had my fair share of great fun machines over the years , just to mention a few , 65 GTO convertable , a triumpth gt6, 69 firbird transam,a grifith (289 hi po with webbers etc it was a rocket ship)etc then I went into my big 4 wheel drive phase lol, the last of which was an avalanche 3/4 ton with 8.1 motor, so I have had experance with many hipo machine , but have never had any more fun than this car has given me . it is the scca model 2.4 5 mI bought it for a resonable cost and it only had 7,000 miles on it and gm certified car it is absolutly flawless . The fun I have already had is great ,top is not a big deal to put up or down ","faverate
hmmmm FUN and good mpg , with head spinning good looks, stability contral works great ",its no longer made so best thing would be for GM to restart and call it a buick or a chevy
5,This is my favorite toy.,ccaffrey ,06/13/2012,,,5,5,5,5,,5,5,5,5,"Ever since I first seen this car in a magazine, I thought that it was the most beautiful car that I had ever seen.Having to always have some kind of muscle car, I didn't buy a Solstice until they put the turbo in it.Then, I installed a K&N filter and finally, I had the GM turbo upgrade kit installed.Now my 2008 GXP will scream.Imagine 300 hp in a go cart.I love everything about it except, no spare, not console, no trunk space and the location of the electric windows.My Solstice is Blazen Oranage and I had tinted windows installed and that little touch really added to the beauty of this little screamer. Garage kept in winter.My every day car is a Toyota 2012 full loaded FJ.","Everything about it.
Especially the Turbo Upgrade kit.","Keep on making them.
Move electric window swiches forward.
Needs Console.
More storage space.
More lumbar support (I have serious lower back problems)."
4.375,Great car with some small irritations,G. Kline ,06/26/2010,,,3,5,4,5,,4,4,5,5,"I've had a base model for over 2 years now. I'm very happy with the performance, handling, and gas mileage. The car is beautiful and I've got some great and interesting compliments on it. It is great fun and I love it, but there are some bad points. As several others have said, the interior design is lacking. No storage space, bad cup holders, the temperature control is one of the worst I've seen (should have been more like my 2000 Firebird). I don't know why people complain about reliability. I have over 60,000 miles already (fun to drive, daily driver)and have had little to no problems. Too bad Pontiac folded, GM needs to keep producing these some how.","FUN, great performance and handling, great gas mileage, fabulous exterior styling.","Ventilation system, cup holders and inside storage. Battery placement needs some work as well."
5,2008 Pontiac Solstice,Guitargal ,04/09/2010,,,5,5,5,5,,5,5,5,5,Honestly - I love this little car!  I drove a 4-runner for 10 yrs - loved it! Traded for a 08 Cadillac CTS - felt like a grandma.  didn't handle like I thought a $40+K car should. My little Solstice is perfect for downtown driving/parking.  It handles well - I don't have a turbo - so have to wind the gears - but I'm cool w/that - and it doesn't seem to mind either.  I scratch the tires - every time I get a chance! LOL,The way it looks! I love the wide tires.  Also - I have the Monsoon speakers and it ROCKS!  Good gas mileage.  Good reliable car - never any problems.,Wish the 08 model had bluetooth - and the no spare tires is kind of weird.  Also - we had a snow storm and discovered you have to screw in special tow hooks - there's nothing underneath to latch on to...  
4.5,excellent,Wanda ,03/03/2010,,,5,5,5,5,,5,3,3,5,I have never had any problems. Always get the oil changed and car maintained at the given times. Fun car and I am sorry the car won't be made now in the following years. Good buy with fun results.,The looks of the car is remarkable comparing to other sport cars. Drives excellent. Great colors too.,The car should have extra storage somewhere inside within hands reach.
1.875,Not Fun,Gene G. ,01/26/2010,,,1,5,1,1,,1,1,3,2,"I drove this car for two years.  Continually took it back to dealer for various leaks.  Handled terribly compared to my Miata.  Poorly and cheaply constructed.  After two years I could see this car could not be relied on for the long haul.  I sold it and bought a Honda Civic which is solid reliable, much better milage and handled more like a sports car than the Solstice.  Good ridance.  Stay away from.",None,Everything.
5,A wonderful car,Rojo-GXP ,11/24/2009,,,5,5,5,5,,5,5,5,5,"I'm proud to say that I have had my red GXP for almost 2 years and have had 29000 trouble free miles. I have the GMPP 290HP tune, a cold air intake, and Solo Performance catback exhaust and it makes for a VERY quick car (0-60 in 4.9sec) and it's a very sexy ride. Parked beside BMW, Porshe or Mercedes cars and it will ALWAYS generate more nice comments and turned- heads. Sad that 2010 ends the run of this little car. GM got it right at the end. Maybe someone else will continue the line. If you want a great- looking fun-to-drive car with the most bang for the buck, this is it. ","Super good looks, great acceleration and good handling. Did I mention the looks??? ",Shifter could be a little more positive and 290HP should be standard.  
4.625,I LOVE THIS CAR!!!!!!,lovemysolstice ,10/23/2009,,,3,5,5,5,,5,4,5,5,"I bought my new 08 Solstice(base) 5 weeks ago and am loving every minute of it. Most of the reviews list similar negatives which are true, but as for the storage issues, lack of a spare tire, fussy top operation, plasticky interior and ridiculous cupholders, etc..., I would not want any of these items improved if it compromised the beautiful looks or low price of the car. Performance in my base model, while nothing exciting, is adequate. I am 6' 215 lbs and the car is plenty comfortable, although I am wishing I had gotten power windows, due only to the fact that the window crank protrudes in to the area where my left leg rests and is a bit uncomfortable. Did I mention that I love this car?","LOOKS, LOOKS, LOOKS!!!!! This car gets attention everywhere I drive it and I could sit in my garage for hours just staring at it as a beautiful work of art. I really love this car!!!!!","The only thing I am dissatisfied with is the upholstery. This is a base model, so I cant complain too much, but after 900 miles the cloth seats are showing some beginning signs of wear. I am hoping it wont get worse. Did I mention I love this car anyway ????"
