4,Pontiac shouldn't have left us,Tom rauch ,12/30/2015,4,4,3,,,4,4,4,4,,,"After owning the car for about a year, I have gone through all 4 seasons. Spring, good. Summer, alright with the exception of the tranny running hot. Fall, good. Winte... now getting 2 feet of snow in a week, icy roads and a v8. I was nervous, but with stability control, abs, and traction control I found myself more relaxed through the winter then I thought I would be. This car has truly surprised me with it winter capabilities. I snowboard and so I need room for my gear, and also need to get up the mountain. This car has proved itself worthy. Now fuel economy for me is about 22 mpg, I drive 60 miles a day just for work and plus all of my running around is in this car. For a v8 and me having a heavy foot sometimes, I can't complain. Which brings me to my next point. This car is quiet, but if you open her up she has a growl that is just beautiful. Not to much and not to little.The interior is... Well the hud is nice, I love the seats, butt warmers, dual auto climate control, and dic. However the plastics rattle Alot. It is in my opinion the biggest down side to the car.I am aproaching 85k miles, and do regular maintenance, along with preventative maintenance, and have had no major issues yet.I am happy with this car so far after putting almost 20k miles on it and hope it keeps me that way.",,
4.625,Favorite Car,mike_ike ,06/13/2014,,,4,5,5,4,,5,4,5,5,"	I am writing this review on a 2008 Pontiac Grand Am that I own. I have owned this car for about two years and have only one bad thing to say about the car but other than that the car has been a great fit for me. I have owned the car for about five years. It has great gas mileage, great horsepower, it has needed only minimal repairs, and the only thing bad thing about it has been an issue with the ignition but that has been fixed. This is my first Pontiac I have bought and I donÂt regret the decision one bit. Every day I have to commute about 20 miles to work, so most of the miles I have put on my car are highway miles.My Pontiac gets around 30 miles per gallon on the highway.","the only issue I have had with this car has been that there was an ignition problem. I owned the car for about one year before the ignition problem occurred.
The issue was that when I would start the car and it would sometimes turn off right away. I took it to my local mechanic and he informed me that we just needed to put a new starter in and it would be as good as new. I have not had any other issues with the car anymore. This car has excellent horsepower and a great engine.
This car has excellent acceleration in town and on the highway.
I change the oil every 3,000 miles and have no problems with the engine. I love listening to the sound of the engine! This car has lasted a long time.","	The interior of this car has been great for me. I would prefer leather but the cloth interior has worked for me. The front two seats are bucket seats with a console with two cup holders in the middle. I am a tall guy and this car gives me more than enough room to stretch out my legs. I have taken this car on many long trips to different states and this car has been great. The back seat which is a bench seat is very comfortable but lacks in leg room a little.
The trunk is very spacious, as I said before I do a lot of traveling and the trunk gives me plenty of room for my suitcases and any extra things I need to bring along.
"
4.375,My favorite car,hawkeye22 ,09/28/2013,,,4,4,4,5,,5,5,4,4,"I can't afford a BMW or Mercedes like the car magazines want you to, but count me as a Pontiac guy. This is my 3rd one and my 2008 Grand Prix is my favorite car of all time. I got it with 13k mile on it, have 89k on it now. No problems. Lots of horsepower, love the heated leather seats, the tire pressure system has come in handy. Slight hum from the climate control motor (drives my wife nuts, doesn't bother me). Started getting better gas mileage the more I drove it. I thought about trading it in on a 2014 Mustang but I would miss this car too much. I'm keeping it for now. (accidentally posted 1rst as comment to another review) ","Heated seats, remote start for winter. Power (this car will get up an go!). ",Only to keep making them so I can buy another one. 
3.875,Very cheap interior and build quality,sbronemann ,06/20/2013,,,3,4,2,4,,5,4,4,5,"I bought this car in May of 2012 with 28,500 miles on it.Currently has 62k on it and things are starting to go bad.Headlights turn off occassionally on their own, valve cover gasket is leaking, sunroof leaks, and ignition switch is going bad.It is fun to drive and does get pretty good gas mileage, recent trip to South Carolina resulted in 31.3 MPG cruising right at 71 mpg GPS verified.The torque steer is absolutely horrible as you could expect with a front drive V8 with 303 HP.Looking to get rid of it very soon.","HUD, heated seats, remote start.
",
5,GRAND PRIX GXP 2008-STILL THE BEST,awos ,06/01/2013,,,4,,,5,,5,5,,,"Just an update on my 2008 GXP. I have 55,000 miles on it now and still running like new. It's hard to believe that most car mags blasted this car. This car will run with most sports sedans and knock the hell out of the rest. If you can find one thats been maintained, oil changes and the like, BUY IT.I'm 6' 3"""" tall and 230 lbs and the leather seats are still in great shape.Why Pontiac was killed is a shame.Bring it back, somebody.",,
4,Excellent Car! ,evej ,07/07/2012,,,4,4,3,5,,4,4,4,4,"I bought my Grand Prix used in 2009. I bought it with 60,000 Miles... Now July 6th 2012, It has 96,348 miles... it still runs great! The car was originally from California, and ever since i bought it i have never had any problems with it other thank the usual( breaks, wipers, etc..) i greatly recommend this car to any one who is considering buying one! Me and my son ( a high school/collegestudent) share the car. We drive itA LOT everyday... gas mileage is okay.I would buy another one of these any day! ",Reliability ,Interior 
4.875,2008 GP GXP,awos ,03/13/2012,,,4,5,5,5,,5,5,5,5,"I have had my red GXP for 3 1/2 yrs now. She got 48,000 miles on her and no problems, here that Consumers Report, Car & Driver and rest of critics. The car preforms day in and day out.Fast, comfortable and reliable. I am 6'2"" and there's plenty of roomInterior is standing up better than expected.","HUD, Heated seats and Paddle shifters",Bring back PONTIAC!!!
4.5,I'm in love,jordanface ,09/06/2011,,,5,5,3,5,,5,4,4,5,"I don't know much about cars, and from what I hear, Pontiac isn't the greatest kind of car....but I must say that I've grown to fall in love with my car. I bought it in 2009 when it had 30,000+ miles on it. Since then, I've put about 20,000+ miles on it and I've had absolutely no issues with my car. My only issue is that the front end bumper is so low, it end up scraping when I park. I've also got a minor leak in my oil pan, but that's nothing major. All in all, she's gotten me to numerous states and back with no issues. It's more of a ""small person"" car, but I don't have issues driving it.",Steering wheel controls,Raise the front end bumper
4.625,"Will miss the Grand Prix, get one if you can",bobr15 ,12/20/2010,,,4,5,4,4,,5,5,5,5,"Bought my 2008 GXP used from a MA dealer who bought it at rental auction at 12k miles in June '08 (was a former Alamo rental). Excellent car, but burned through brakes like crazy. After replacing front brakes with rotors at about 18k, needed all brakes/rotors again at 25k. Some light arm twisting at the local dealer and GM rep agreed to a whole new set of rotors/pads front and back. Still holding at 37k though there's a lot of brake dust on the front wheels. Smoking, fast car. Even better than the 2000 Grand Prix GTP turbo I drove for 8 years prior. Too bad, it's the end of an era. ","Acceleration.
Roomy interior.
Signature red aircraft like instrument cluster at night.
Heads up display.
Decent mileage for V8.
Good room in back seat.
Price vs. comparable import.","Doesn't matter now.
R.I.P. Grand Prix."
4,Great Car Overall,blakehannan ,12/15/2010,,,3,4,4,4,,4,4,4,5,"I bought this car last February used. It is very fast, rides tight... Hard suspension so its a little bumpy but ill survive due to the performance. I love the look of the exterior with the factory wheels, id love to put some different wheels on to make it look even more sharp! But, the downfall to this vehicle is the interior, the seats are nice, but the plastic throughout the car is a little annoying and i do not believe that Pontiac put any time into it and did not give the consumer what they should have gotten. Could have been an AMAZING vehicle, but due to this, just great. Good fuel economy for 5.3 L V-8.","Tap shift; improves fuel economy.
cruise control.
stability system.
Monsoon stereo.
I WISH i had the in dash navigation.
On star.
power/heated seats.
the exterior look.
","Interior a bit botchy, a little kid could have done better to make the car look more fancy/classy/sexy. 

Blue lights exterior, everyone loves blue lights. why did they put factory white lighting? its so ugly and 1900's.

Auto dimming rear-view mirror. pain in the booty switching it yourself.

They have a 12 V outlet in the center counsel. Why im not sure, but i have never used it.

Bluetooth or AUX jack? cell phones have all the music now, not CD's. Also, no data player, just regular CD's."
